operator_id,domain,mechanism,formal_definition,disposition,validation,source_scope
sclp362.jitter.deterministic-bit-v1,Topology/control,Deterministic one-bit jitter,"Hash address, time tick and seed to a reproducible bit used as a bounded signed perturbation or selector.",TRANSLATE,Implemented,pp.1-6
sclp362.jitter.interval-guard-v1,Event calculus,Jitter interval certificate,"Authoritative residual f is enclosed by [f-epsilon_j,f+epsilon_j]; epsilon_j must remain below the event margin.",CORRECTED,Implemented,pp.1-3
sclp362.time.phase-clock-v1,Time,Linear-time phase clock,Keep linear time and map it to phase plus integer winding; the source timestamp is profile metadata with a declared unit.,CORRECTED,Implemented,pp.3-5
sclp362.time.winding-lineage-v1,Persistence,Winding lineage,Record winding count and parity separately from periodic phase so repeated coordinates retain history.,TRANSLATE,Implemented,pp.3-4
sclp362.topology.source-half-turn-v0,Topology,Source half-turn bundle twist,"On odd radial wraps apply theta+pi, phi->-phi and orientation flip; base gluing is not itself a Klein quotient.",RETAIN/BOUND,Implemented,pp.9-10
sclp362.topology.klein-reflection-v1,Topology,Reflective Klein radial gluing,Use theta->pi-theta plus phi and orientation reversal on odd radial wraps to obtain an orientation-reversing quotient.,CORRECTED,Implemented,"pp.2-4,9-10"
sclp362.topology.tangent-chirality-v1,Topology,Tangent chirality map,The chart transition sends dtheta and dphi to their negatives on odd reflective wraps; it is not a physical impulse.,ENGINEERING-DERIVED,Implemented,"pp.4,6,10"
sclp362.topology.wrap-event-v1,Event calculus,Topological wrap event,"Crossing rho_max emits a transition with coordinate map, orientation patch, wrap count and lineage.",TRANSLATE,Specified,"pp.2-5,9-11"
sclp362.hinge.state-v1,Kinematics,"Hinge state phi, omega, alpha","Store angle, angular velocity and angular acceleration as separate typed coordinates.",CORRECTED,Implemented,"pp.1,3,8,10"
sclp362.hinge.torque-model-v1,Kinematics,Optional physical torque model,"Only after declaring inertia, damping and stiffness may torque be computed as I alpha+c omega+k phi.",CORRECTED,Implemented,"pp.1,3,8"
sclp362.constraint.row-release-v1,Kinematics,Missing-shackle row deletion,Model the missing shackle as removal of one constraint-Jacobian row.,TRANSLATE,Implemented,"pp.1,3-6,8-10"
sclp362.constraint.nullity-gain-v1,Kinematics,Freedom-gain certificate,Compare nullities before and after row deletion; one independent row can add one degree of freedom.,ENGINEERING-DERIVED,Implemented,"pp.1,3,8,10"
sclp362.branch.binary-guard-v1,Event calculus,Binary guard branch,A declared guard partitions state into branch 0 or 1 and selects a transition/grammar rule.,TRANSLATE,Implemented,pp.4-7
sclp362.branch.no-chaos-inference-v1,Audit,No automatic chaos inference,Binary branching is deterministic; chaos requires a defined dynamical map and measured sensitivity/Lyapunov evidence.,CORRECTED,Enforced,p.5
sclp362.grammar.bounded-binary-lsystem-v1,Grammar,Bounded binary parametric L-system,"Each F emits two dyadically scaled branches, a typed turn and jitter token under depth, symbol and stack budgets.",TRANSLATE,Implemented,pp.6-8
sclp362.grammar.chirality-automorphism-v1,Grammar,Chirality turn automorphism,A topological orientation flip maps positive turns to negative turns and vice versa.,RETAIN,Implemented,pp.6-7
sclp362.packing.quantize-20-18-14-12-v1,Packing,20/18/14/12 quantizer,"Quantize rho, theta, modular time and phi into exactly 64 field bits with declared ranges and errors.",RETAIN/BOUND,Implemented,pp.11-13
sclp362.packing.contiguous-key-v1,Packing,Contiguous field key,"Pack fields into source table ranges [63:44],[43:26],[25:12],[11:0].",RETAIN,Implemented,p.12
sclp362.packing.morton-key-v1,Packing,MSB round-robin Morton key,"Interleave rho19,theta17,time13,phi11, then continue round-robin until all 64 bits are consumed.",RETAIN/CLARIFY,Implemented,pp.10-12
sclp362.packing.layout-separation-v1,Packing,Key-layout separation,"The contiguous table and interleaved Morton word are two distinct encodings, never silently treated as the same bit layout.",CORRECTED,Implemented,pp.10-12
sclp362.index.prefix-refinement-v1,Indexing,Radix prefix refinement,Appending a bit fixes one scheduled coordinate bit and refines a quantized cell; it does not directly divide rho or theta values.,CORRECTED,Implemented,pp.4-5
sclp362.index.radix-trie-v1,Indexing,Radix-2 trie terminology,Use a radix trie over key prefixes rather than calling the structure a comparison-based binary search tree.,CORRECTED,Implemented,pp.1-12
sclp362.index.one-bit-payload-v1,Indexing,Narrow one-bit payload,"A leaf bit may encode route, occupancy class or predicate result; continuous residual, uncertainty and lineage remain external.",CORRECTED,Implemented,"pp.1-2,9-10"
sclp362.index.sparse-presence-accounting-v1,Memory,Sparse presence accounting,Pointerless sparse storage still needs topology/presence bits and rank/select or equivalent navigation metadata.,CORRECTED,Implemented lower bound,pp.11-12
sclp362.metrics.cacheline-eight-keys-v1,Metrics,Eight raw keys per cache line,A 64-byte line stores eight 64-bit keys; this does not imply eight evaluations in one cycle.,CORRECTED,Exact capacity,p.13
sclp362.metrics.nominal-width-audit-v1,Metrics,Nominal width audit,"Report 3x,32x and 42.666x only as bit-width ratios because the compared records do not preserve equal semantics.",CORRECTED,Implemented,pp.12-13
sclp362.metrics.finite-capacity-v1,Metrics,Finite 2^64 key capacity,"The 20+18+14+12 profile has exactly 2^64 address combinations, not infinite detail.",CORRECTED,Exact,pp.12-13
sclp362.query.direct-lookup-bound-v1,Query,Bounded direct lookup,"Fixed-width array/hash lookup may be constant expected RAM access after key construction; traversal, decoding, verification and storage remain costs.",BOUNDED,Specified,pp.7-11
sclp362.query.ugts-handoff-v1,Architecture,Canonical UGTS handoff,"SCLP outputs feed support, compatibility, guard, verified event, transition and lineage in that order.",ENGINEERING-DERIVED,Implemented,p.9-11
