mechanism_id,domain,name,source_basis,source_motif,normalized_technical_definition,gpu_native_realization,physical_hardware_realization,status,validation_state,dependencies
M045,Metric geometry,Scaled 5–12–13 triangle,S01 p.5,"1.5, 3.6, 3.9",Multiply the Pythagorean triple by 0.3.,Test vector/constants.,Calibration jig.,RETAIN,Exact,
M046,Metric geometry,Leg ratio 2.4,"S01 pp.5,15",3.6/1.5,Aspect/torque parameter `q=2.4`.,Uniform scalar.,Geometric ratio.,RETAIN,Exact,
M047,Metric geometry,Torque-cone angle,S01 pp.15–16,atan(2.4)=67.38°,Derive cone half-angle from leg ratio under stated triangle convention.,Precomputed cosine in state.,Aperture/acceptance angle.,RETAIN,Exact under convention,
M048,Kinematics,Logarithmic spiral step law,S06/S07/S10 pp.5–6,d=e^-Δφ,Scale changes exponentially with phase.,`exp2`/LUT recurrence.,Spiral guide or growth law.,TRANSLATE,Parameter dependent,
M049,Coordinate geometry,Base-2 log-radius,S01 pp.16–17; S04 pp.1–2,log2(r) aligns with shifts,Multiplicative radial scale becomes additive coordinate displacement.,Log2 LUT or approximation.,Logarithmic sensor/ADC mapping.,RETAIN,Implemented concept,
M050,Coordinate geometry,Local spherical chart,S03 pp.5–7; S05 p.3,"r, theta, phi support",Use radial-angular coordinates locally around a query/coupler; not a global world replacement.,Dot/radius tests or spherical bins.,Angular aperture/coupler.,RETAIN,Canonical,
M051,Support geometry,Cone support,S03 pp.5–7; S08 pp.15–18,Cone as domain of influence,Admit candidates satisfying radial reach and angular cosine threshold.,Branchless norm/dot compares.,Conical field of view.,RETAIN,Implemented,
M052,Support geometry,Nested shell support,S03 pp.3–6,Spherical shells,Partition radius into ordered intervals for multiscale relevance.,Bucket by radius/log radius.,Concentric detector/coupler regions.,RETAIN,Specified,
M053,Routing geometry,Four-chamber hourglass,S03 p.6; S08 pp.23–26,Inverted quad hourglass,Four routing sectors meet at a central rank-changing locus.,Two route bits plus event guard.,Four-port coupler.,TRANSLATE,Canonical abstraction,
M054,Routing geometry,Pinch event locus,S03 p.6; S05 pp.2–5,Central pinch/dark port/cutoff,"A guard surface at which rank, route or mode changes.",SDF/measurement threshold.,Critical-coupling/dark-port detector.,RETAIN,Measurable,
M055,Routing geometry,Invariant eigen-axis,S03 p.6; S08 pp.21–25,Vertical line stays on course,A tagged axis/mode remains invariant across route transition.,Invariant field/tag.,Reference channel/eigenmode.,TRANSLATE,Specified,
M056,Routing geometry,Swept phase arc,S03 p.6; S08 pp.23–25,Arc controls coupling,Phase parameter maps between routing sectors.,Phase function and branch map.,Phase shifter.,TRANSLATE,Specified,
M057,Routing geometry,Trident 3-to-1 convergence,S01 pp.25–27,Three tines into one pinion,Three input channels merge into one event/reset channel.,Reduction tree or fan-in.,Three-port manifold.,TRANSLATE,Constructive,
M058,Fluid threshold,Pythagorean-cup trigger,S01 pp.27–29,"Fill until crest, then drain",Hysteretic threshold state machine with latch and reset.,Guard crossing plus state reset.,Siphon/valve reservoir.,RETAIN,Physical principle established; corpus mapping unvalidated,
M059,Fluid threshold,Greedy reset cycle,S01 pp.27–29,Threshold drains full state,"On trigger, emit event then reset selected accumulator/state.",Atomic commit + clear/FIFO.,Siphon drain or dump valve.,TRANSLATE,Specified,
M060,Glyph geometry,Inward G/shelf transform,S06/S07/S10 pp.30–31,Circle shears inward to shelf/stem,Additional glyph grammar rule; not core topology.,Vector/SDF morph.,Not required.,OPTIONAL,Exploratory,
M061,Topology geometry,Lemniscate crossing,S09 pp.18–25,Figure-eight crossing as switch,A crossing with orientation/chirality state and two lobes.,Two-sheet parametric curve plus route bit.,Cross-over waveguide with explicit ports.,TRANSLATE,Exploratory,
M062,Topology geometry,Escher-style shrink to crossing,S09 pp.20–27,Infinite visual shrink,Use bounded log-scale coordinate; do not infer infinite physical resolution.,Clamped log coordinate.,Finite fabrication scale.,CORRECTED,Bounded,
M063,Field geometry,Cone SDF,S06/S07/S10 pp.7–8,Conical distance field,Implicit conical support/boundary function.,Analytic SDF.,Cone-shaped physical aperture only if fabricated.,RETAIN,Specified,
M064,Field geometry,Sphere SDF,S03/S05; benchmark,r-R relation,`f(p)=||p||-R` with zero guard.,Native benchmark relation.,Spherical wavefront/support.,RETAIN,Implemented and validated,
M065,Topology,Möbius orientation reversal,S06/S07/S10 pp.4–6; S08 pp.10–14,One-sided strip/twist,A quotient boundary reverses orientation when traversed.,Orientation bit toggled at portal.,Twisted band/waveguide if physically fabricated.,TRANSLATE,Mathematically exact abstraction,
M066,Topology,Klein gluing map,"S03 pp.2,6; S05 p.5; S08 pp.7–14",Boundary-free non-orientable loop,"Specify ports and an orientation-reversing identification; use as routing, not literal container.",Portal table/quotient coordinate transform.,Waveguide routing only after explicit transfer map.,TRANSLATE,Canonical abstraction,
M067,Topology,"Same coordinate, different sheet",S03 p.6; S08 pp.15–19,Co-location without interaction,State includes sheet/phase/address; coordinate equality alone does not imply coupling.,Sheet field plus compatibility predicate.,Orthogonal mode/polarization/channel.,RETAIN,Implemented,
M068,Topology,Non-orientable orientation bit,S03 pp.5–7,Z2 sheet/orientation,One bit records local orientation class and toggles at gluing maps.,Packed bitfield.,Polarization/port orientation flag.,RETAIN,Implemented,
M069,Topology,Projected self-intersection,S06/S07/S10 pp.5–10,Klein neck crosses wall in 3D,Treat apparent collision as two distinct sheet/address states unless physical interaction is specified.,Sheet-aware collision key.,Separate waveguide layers/modes.,CORRECTED,Specified,
M070,Topology,Double vacuum as incompatibility,S03 p.6; S08 pp.6–18,Second vacuum,"No coupling because compatibility is false, despite co-location.",Mask/phase/sheet predicate.,Isolated/orthogonal modes.,RETAIN,Canonical,
M071,Topology,Phase-separated co-location,S03 p.6,Two phase sectors share x,Phase is part of state and coupling law.,Phase field and tolerance.,Phase/polarization channels.,RETAIN,Specified,
M072,Topology,Four-way routing partition,S03 pp.6–7,Quad hourglass chambers,Two route bits select one of four sectors around an event locus.,Switch/case or LUT.,4×4 switch/coupler.,TRANSLATE,Specified,
M073,Topology,Portal/gluing transition,S03 pp.5–7,Pass through pinch/portal,"At event, apply coordinate, sheet, orientation and lineage transform.",Transition kernel.,Port interconnect.,RETAIN,Specified,
M074,Topology,Branch transition,S03 pp.5–8,State branch changes at event,Branch ID is updated only by a declared transition.,Event output branch field.,Control-state latch.,RETAIN,Specified,
M075,Identity,Lineage-based identity,"S03 pp.5–8,11–12",Address/UUID beyond coordinates,Identity is seed/generative address plus transition history/invariants.,Hash/address fields and append-only event log.,Device ID plus event counter.,RETAIN,Canonical,
M076,Identity,Split/merge lineage,"S03 pp.8,11–12",Identity across bifurcation,Splits create child addresses; merges require explicit reconciliation record.,Prefix/tree address plus merge event.,Event ledger.,RETAIN,Specified; stress test required,
M077,Topology,Toroidal/poloidal chart labels,S01 pp.18–26,Klein/toroidal timeline coordinates,Use two periodic coordinates where appropriate; no claim of 4D physics follows.,Wrapped phase variables.,Ring resonator axes.,TRANSLATE,Exploratory,
M078,Topology,Re-entry map,S01 pp.18–28,Loop returns to root,Explicit transition maps output port to input address with optional orientation flip.,Portal table/queue feedback.,Feedback waveguide or digital loop.,TRANSLATE,Specified,
M079,Topology,Parity-controlled open/closed boundary,S06/S07/S10 pp.3–8,Closed loop versus open leg,Parity selects one of two topology templates; changes occur at guarded events.,Template ID/branchless blend.,Switchable coupler or latch.,RETAIN,Specified,
M080,Topology,Sphere eversion analogy,S08 pp.10–12,Inside/outside inversion,Useful visualization only; not required by substrate.,Optional orientation test.,No direct device claim.,DEMOTE,Analogy,
M081,Topology,Physical Klein self-assembly,S06/S07/S10 pp.9–12,Matter folds through itself,Not supported; requires material mechanics and cannot be inferred from SDF parity.,Excluded.,Excluded pending independent physical model.,REJECT,Unsupported,
M082,Topology,Topology-powered energy recycling,S01 pp.25–29,Closed loop reinjects energy,Topology does not create or preserve usable energy without a loss/drive model.,Energy accounting required.,Source/actuator/loss measurement required.,REJECT,Dimensionally unsupported,
M083,Information architecture,Finite grammar,"S03 pp.5–7,12",Finite production system,A bounded set of productions generates typed expressions/state.,GPU tables or host compiler emits IR.,Microcode/configuration ROM.,RETAIN,Canonical,
M084,Information architecture,L-system production,S06/S07/S10 pp.5–6,X→X[-T]phi[+T],Parametric grammar operator with bounded depth and normalized output.,Iterative/stackless expansion or precompiled IR.,Microcoded generator.,TRANSLATE,Depth must be bounded,
M085,Information architecture,Projective-phase state manifold,S03 pp.5–7,"Space, time, phase, sheet, address, branch","Typed product state, not a single coordinate array.",G64/G32 ABI fields.,Register bank/mode state.,RETAIN,Implemented subset,
M086,Information architecture,Typed state tuple,S03 pp.5–7,"q=(x,t,phi,sigma,address,branch)","Every field has unit, width and semantic convention.",Schema JSON + C/GLSL layout.,Register map.,RETAIN,Implemented,
M087,Event calculus,Relation surface,S03 pp.5–7,R_j(q)=0,An event candidate is a root of an explicit scalar relation.,Analytic function or compiled expression.,Comparator/detector transfer.,RETAIN,Implemented sphere relation,
M088,Event calculus,Support predicate,"S03 pp.5–7; S05 pp.3,6","C(q,t)≤0",Local domain selects relevant candidates before event solving.,Radius/dot comparisons.,Aperture/acceptance filter.,RETAIN,Implemented,
M089,Event calculus,Compatibility predicate,S03 pp.5–7; S05 p.7,"χ∈{0,1}",Coupling requires phase/sheet/address/mode/policy compatibility.,Mask/bitfield comparisons.,Mode/polarization filters.,RETAIN,Implemented subset,
M090,Event calculus,Earliest valid event,S03 pp.5–7,"min t with R=0,C≤0,χ=1",Choose earliest certified root satisfying all gates.,Analytic root or bracketed solver; benchmark uses current-state guard.,Threshold crossing detector.,RETAIN,Prototype subset,
M091,Event calculus,Transition operator,S03 pp.5–7,T_j updates q,Apply atomic state patch at event and preserve invariants.,Commit kernel/event consumer.,State latch/actuator command.,RETAIN,Specified,
M092,Persistence,External novelty log,"S03 pp.5–8,11–12",Irreducible exogenous log,Closed dynamics may be rebuilt; unpredictable external changes are appended.,Compact E16/E32 records.,Event FIFO/nonvolatile log.,RETAIN,Implemented format,
M093,Query architecture,state_at(t),S03 pp.6–8,Direct state query,Evaluate closed expression at requested time without replay when possible.,Compiled expression kernel.,Parameterized transfer path.,RETAIN,Restricted families only,
M094,Query architecture,next_event,S03 pp.6–8,Direct next crossing,Support + compatibility + root solve + branch resolution.,GPU candidate evaluation and reduction.,Detector/threshold network.,RETAIN,Restricted families only,
M095,Query architecture,events_in_cone,"S03 pp.6–7,11–12",Analytic cone query,Return events whose supports intersect query support.,Support kernel + compaction.,Angular detector selection.,RETAIN,Specified,
M096,Query architecture,reachable relation query,S03 pp.6–7,Which relation can couple next,Graph/grammar reachability under compatibility.,Adjacency/bitset traversal.,Routing table.,RETAIN,Specified,
M097,Query architecture,identity reconstruction,S03 pp.7–12,Seed + lineage + invariants,Reconstruct identity without relying on current coordinate.,Address hash and event replay.,Device/event IDs.,RETAIN,Specified,
M098,Pruning,Support rejection,S03 pp.7–8; S05 p.6,Remove out-of-support candidates,Local analytic filter precedes expensive relation work.,First-stage predicate.,Aperture/mode filter.,RETAIN,Measured by SRG,
M099,Pruning,Compatibility rejection,S03 pp.6–8; S05 pp.6–7,No coupling across incompatible sectors,Filter supported candidates by typed mode/policy mask.,Bitwise mask and sheet/orientation compare.,Mode/polarization switch.,RETAIN,Measured by CRG,
M100,Event calculus,Finite guard band,S05 pp.5–7; benchmark,SDF≈0 threshold,Use epsilon band around relation zero to tolerate finite precision/noise.,`abs(f)<=epsilon`.,Comparator hysteresis.,RETAIN,Implemented,
M101,Event calculus,Confidence threshold,"S05 pp.3,6–7",Verified output with uncertainty,Event commits only if confidence/certification exceeds floor.,Confidence scalar compare.,SNR/confidence circuit.,RETAIN,Implemented synthetic model,
M102,Event calculus,Hysteresis/debounce,S05 p.10; S01 pp.27–29,Avoid ringing/tangency repeats,Separate enter/exit thresholds and hold time.,Stateful guard.,Schmitt trigger/debounce.,RETAIN,Specified,
M103,Numerics,Certified/bracketed root solve,"S03 pp.8–9,11–12",Interval/set-valued answer,Return bounded root interval when exact analytic solve is unstable.,Interval arithmetic or bisection.,Time-to-digital threshold bracket.,RETAIN,Future implementation,
M104,Numerics,Tangency and degeneracy handling,S03 pp.8–11; S05 p.10,Coincident/tangent surfaces,Classify derivative/rank conditions; avoid false crossing.,Derivative/interval tests.,Hysteresis/reference channel.,RETAIN,Risk register,
M105,Field algebra,SDF zero as event boundary,S03 pp.6–7; S06 pp.7–8,SDF=0 hinge,"Zero is semantic transition surface, not a reason to raymarch indefinitely.",Relation evaluation.,Detector threshold.,RETAIN,Canonical,
M106,Field algebra,CSG union,S04 p.2,"min(f1,f2)",Implicit union operator.,min instruction.,Parallel channel OR approximation.,RETAIN,Exact for SDF sign,
M107,Field algebra,CSG intersection,S04 p.2; S02 pp.18–19,"max(f1,f2)",Implicit intersection/operator for overlap lens.,max instruction.,Coincidence gate.,RETAIN,Exact for sign,
M108,Field algebra,CSG subtraction,S04 p.2,"max(f1,-f2)",Implicit difference.,max/negate.,Inhibitory channel.,RETAIN,Exact for sign,
M109,Field algebra,SDF gradient orientation,"S04 pp.2,4,9",Gradient drives edge/phase,Gradient provides normal/orientation; finite difference or analytic derivative.,Derivative code or sampled neighbors.,Wavefront/edge orientation sensor.,RETAIN,Specified,
M110,Field algebra,Parity-conditioned field blend,S06/S07/S10 pp.7–8,f=(1-P)f_closed+P f_open,Discrete state selects or interpolates implicit geometry.,select/mix.,Switchable transfer function.,TRANSLATE,Specified,
M111,Indexing,Log-polar LUT,S01 pp.16–22; S04 pp.1–8,"ρ,θ table",Index radial-angular parameters by additive log radius and angle.,Texture/buffer LUT or direct math.,ROM/phase table.,RETAIN,Specified,
M112,Indexing,BST-to-flat-table translation,S01 pp.15–22; S06/S07/S10 pp.5–6,Binary search tree polar LUT,Compile tree decisions into breadth-first arrays or direct bit tests; avoid pointer chasing on GPU.,Flat SSBO/LUT.,Decision tree/microcode.,CORRECTED,GPU-specific,
M113,Complexity,Horizon-independent closed expression,S03 p.8,Skip frame replay,"For fixed expression size, state_at cost need not scale with skipped steps.",Direct evaluation.,Combinational/configured transfer.,BOUNDED,Restricted claim,
M114,Memory,Novelty-proportional retention,"S03 pp.8,11–12",Memory proportional to novelty,"Store seed/grammar/invariants and external events, not every frame, when reconstruction is valid.",Compact event log.,Event memory.,BOUNDED,Depends on reconstructibility,
M115,Persistence,Seed+grammar+log rebuild,S03 pp.7–12,Rebuild closed state,"Deterministic replay from versioned seed, grammar and event log.",Reference implementation.,Controller replay.,RETAIN,Specified,
M116,Architecture,"Query-first, no mandatory frame loop","S03 pp.1,5–12",Renderer is downstream,Authoritative runtime serves state/event queries; projection is optional.,Headless compute API.,Headless device/measurement path.,RETAIN,Canonical,
M117,Architecture,Optional projection,"S03 pp.1,9–10; S04",Images are not state,Render/print/display is a consumer of query results.,Separate output shader.,Display/print actuator.,RETAIN,Canonical,
M118,Event calculus,Bounded Compatibility Event,"S05 pp.3,5–7",B.C.E.,"Verified event requires support, compatibility, guard crossing and confidence.",Kernel predicate and event record.,Coupler+detector+control logic.,RETAIN,Implemented synthetic / specified physical,
M119,Persistence,Event lineage record,S03 pp.5–8; S05 p.7,"Emit event, confidence, lineage","Event carries route, state flags, time/confidence and lineage.",E32/E16 ABI.,FIFO record.,RETAIN,Implemented,
M120,Architecture,Schema-bound one-bit semantics,S05 p.7,Bit must not be interpreted alone,Every bitfield is versioned and named by schema.,JSON schema/C headers.,Register specification.,RETAIN,Implemented,
M121,Networking,Deterministic rollback/replay,S08 pp.27–31; S03 pp.7–12,Time-travel/rollback rhetoric,Replay versioned deterministic transitions plus external event log.,Hash checks and event ordering.,Controller log.,TRANSLATE,Restricted,
M122,Risk,Algebraic closure,"S03 pp.8,11",Grammar expression growth,Composition must remain in a normalized relation family or lose direct-query advantage.,IR normalization and limits.,Microcode/resource limits.,RETAIN,Open risk,
M123,Risk,Event/branch explosion,"S03 pp.8,11",Many roots/branches,"Bound candidate count, branch depth and event density.",Budgets/queues/overflow flags.,FIFO/backpressure.,RETAIN,Open risk,
M124,Governance,Query authority and policy,"S03 pp.6,11",Which sectors may couple,"Policy/provenance is part of compatibility, not hidden side logic.",Mask/tag input.,Access-control gate.,RETAIN,Specified,
M125,GPU-native,GLSL-to-SPIR-V compilation,Package gpu/shaders + gpu/spirv,Compiled shader IR,Compile compute kernels to SPIR-V; bundled modules are SPIR-V 1.4.,"glslang or bootstrap compiler; manifest validates magic, entry, local size and bindings.",N/A.,RETAIN,Compiled and inspected,
M126,GPU-native,Direct Vulkan compute runtime,Package gpu/src/ugts_vulkan_bench.cpp,No game-engine adapter,"Create shader module, compute pipeline, descriptors, buffers and dispatch directly through Vulkan.",Native Vulkan C++ host.,Maps to vendor GPU driver or software ICD.,RETAIN,Executed,
M127,GPU-native,Descriptor ABI,Package shader manifest,Bindings 0/1/2,"Set 0 binding 0 state, 1 event, 2 counters/commit.",Storage buffers.,Three memory ports/streams.,RETAIN,Validated,
M128,GPU-native,256-thread workgroup,SPIR-V manifest,LocalSize 256×1×1,One invocation evaluates one candidate.,Compute dispatch groups ceil(N/256).,SIMD lane group / replicated PE array.,RETAIN,Compiled,
M129,GPU-native,G64 authoritative state record,Package spec,64-byte float32 state,"Four 16-byte vectors: position/time, axis/radius, phase/guard, metadata.",std430 State64.,512-bit register/SRAM row.,RETAIN,Implemented,
M130,GPU-native,E32 full event record,Package spec,32-byte event,Float-bit scalars plus topology/lineage flags.,std430 Event32.,256-bit FIFO record.,RETAIN,Implemented,
M131,GPU-native,G32 packed state record,Package spec,32-byte FP16/bitfield state,Pair FP16 fields and pack topology metadata.,unpackHalf2x16.,256-bit register/SRAM row.,RETAIN,Implemented and validated,
M132,GPU-native,E16 packed event record,Package spec,16-byte compact event,"SDF plus packed guard/confidence, flags and lineage hash.",uvec4 output.,128-bit FIFO record.,RETAIN,Implemented and validated,
M133,GPU-native,Evaluate mode,Benchmark,No atomics,Write per-candidate result without global counters.,SPIR-V evaluate modules.,Independent processing elements.,RETAIN,Benchmarked,
M134,GPU-native,Evaluate+commit mode,Benchmark,Atomic event counters,Add four atomic counters for candidates/support/compatible/verified.,SPIR-V commit modules.,Reduction/counter fabric.,RETAIN,Benchmarked,
M135,GPU-native,Device timestamp measurement,Benchmark,Timestamp around dispatch,Use Vulkan timestamp queries and host fence timing.,"Query pool, p50/p95/p99.",On-chip cycle counter.,RETAIN,Benchmarked,
