id,category,name,source_expression,normalized_operator,status,sources,pages,notes
I01,Implicit geometry,Signed distance/implicit field,"Geometry is represented by f(p), with f=0 as the boundary.",Use implicit scalar fields; reserve exact-distance claims for valid primitives/transforms.,retain,"S1,S3,S6,S7,S9",10-30;1-10;5-10;14-31;7-8,A generic implicit field need not be an exact SDF.
I02,Implicit geometry,SDF CSG operators,"Union=min, intersection=max, subtraction=max(a,-b).",Provide composable implicit-field operators with documented sign convention.,retain,S3,1-3,Smooth variants may be added as optional adapters.
I03,Implicit geometry,Zero surface as event relation,"The SDF-zero locus becomes a transition surface, not a place to march through.",Treat R_j(q)=0 as an event guard and solve crossing time.,retain,"S6,S5,S7",5-7;3-7;14-31,This is the central correction from rendering to event semantics.
I04,Implicit geometry,Analytic kinematic sweep,A cone/trajectory is solved against an implicit boundary for exact event time.,Use closed-form roots for restricted trajectory/surface pairs; certified numerical roots otherwise.,retain,"S6,S7",7-12;14-31,No universal non-iterative solver exists.
I05,Implicit geometry,Cone as support/domain,"Cones are directional influence, field-of-view or admissibility domains.",Use analytic radial-angular support predicates for pruning/query scope.,retain,"S5,S6,S7",3-6;5-10;12-25,Not necessarily a rendered cone.
I06,Implicit geometry,Spherical/local radial-angular support,"Spherical means a local chart around a sensor/coupler, not a global world remesh.","Represent local support by radius, angle, orientation, uncertainty and time window.",retain,"S5,S6",3-6;1-10,Core type-safety rule.
I07,Implicit geometry,Nested shells,"Shells organize radial reach, scale and relevance.",Use concentric support bands or multiresolution radial intervals.,translate,"S6,S7",1-7;12-25,"Useful local indexing structure, not required globally."
I08,Implicit geometry,Hourglass/quad routing,Four conical chambers meet at a pinch/event locus.,Implement a finite routing partition keyed by sign/sheet/orientation at a transition surface.,translate,"S6,S7",5-7;23-25,"The pinch is an event/router, not a literal singularity that destroys data."
I09,Implicit geometry,Invariant/eigen-axis,A central axis or mode persists through transformations.,Declare invariants and preserved quantities for transitions.,retain,"S1,S6,S7",15-20;5-12;18-25,Eigenlanguage is only literal when a linear operator is actually defined.
I10,Implicit geometry,Projective/homogeneous chart,Null-cone and projective language compactifies direction/scale.,Optional homogeneous coordinates for intersections and points at infinity.,translate,"S6,S7",5-7;18-25,Use only where it improves equations and conditioning.
C01,Coordinates/sampling,Log-polar transform,"rho=ln(r), theta=atan2(y,x).",Use a local coordinate chart that turns radial scaling into translation in rho.,retain,"S1,S3,S7,S9",10-15;1-10;12-31;5-8,Handle r=0 with an epsilon/core cell.
C02,Coordinates/sampling,One-bit log-polar LUT,A bitmask activates radial-angular sectors.,"Use as a coarse admission/cache mask, never as the whole world state.",retain,"S1,S3,S7,S9",10-15;1-10;12-31;5-8,Schema and quantization parameters are mandatory.
C03,Coordinates/sampling,Phasor/Feynman-style edge accumulation,Subpixel samples carry magnitude/phase and are accumulated.,Normalize to complex phasor or oriented coverage accumulation for antialiasing.,translate,S3,1-8,Not a literal Feynman path integral unless a physical path-integral model is defined.
C04,Coordinates/sampling,One-bit stochastic jitter,Binary noise shifts samples/thresholds around an edge.,Use deterministic blue-noise/hash dithering with reproducible seeds.,retain,"S1,S3",10-15;7-10,Jitter trades structured error for noise; it does not remove error.
C05,Coordinates/sampling,Temporal pulse-density modulation,Brightness/coverage is encoded as density of one-bit pulses.,Optional display-output adapter using PDM or delta-sigma modulation.,translate,S3,4-6,Panel hardware and refresh limits remain.
C06,Coordinates/sampling,Chromatic log-radius offset,Channel scaling becomes additive rho offsets.,"Apply channel-specific log-radius shifts before field evaluation, then resample correctly.",retain,S3,7-8,Cheap coordinate arithmetic is not zero-cost end-to-end correction.
C07,Coordinates/sampling,Log-polar prepress screening,Spatial one-bit dots scale with rho and orient with theta.,"Optional print adapter with calibrated halftone, screen angles and dot-gain compensation.",translate,S3,8-10,Requires press/paper calibration.
T01,Topology,Phase sheets,Multiple states occupy layered sheets over the same base coordinate.,"Represent state as base position plus sheet, phase, orientation and address.",retain,"S6,S7,S9",5-10;14-25;5-8,Layer identity must be explicit.
T02,Topology,Double vacuum,Co-located states do not interact when phase/sheet/address are incompatible.,Compatibility-gated coupling: same x does not imply same sector.,retain,"S5,S6,S7",2-7;5-10;14-25,One of the strongest corpus concepts.
T03,Topology,Mobius gluing,A boundary identification reverses orientation after one loop.,Implement quotient-map boundary wrapping with orientation flip.,retain,"S7,S9",7-12;5-8,Use a chart/gluing abstraction rather than literal 4D geometry.
T04,Topology,Klein-bottle gluing,A closed non-orientable quotient is used for looping routes.,"Implement two rectangle-edge identifications, one orientation reversing.",translate,"S5,S7,S9","2,5;7-25;5-10",Hardware realization remains frontier; 3D pictures self-intersect.
T05,Topology,Topological portal/gluing map,"Crossing a boundary re-enters another chart/sheet, possibly transformed.","Use explicit port, orientation map, coordinate transform and transfer metadata.",retain,"S5,S6,S7",2-5;5-12;14-25,This makes topology technically testable.
T06,Topology,Inside/outside sign with schema,Binary sign denotes interior/exterior or route state.,Bind every bit to a declared schema/version and keep uncertainty separate.,retain,"S3,S5,S7,S9",1-10;2-7;14-31;3-8,Raw bits without layout/schema are ambiguous.
T07,Topology,Strange loop/self-reference,Escher/Klein motifs suggest systems feeding back into themselves.,"Use explicit cycles, fixed points and termination/cycle policies in the grammar/event graph.",demote,"S1,S7,S9",18-30;7-25;5-10,Narrative inspiration only unless formally specified.
A01,Information architecture,Finite grammar G,A finite rule set generates relations/structures.,Use bounded-depth typed productions that compile to supported relation primitives.,retain,"S6,S7,S9",1-12;26-31;5-8,Enforce symbol and expression caps.
A02,Information architecture,State manifold Q,"State includes position, time, phase, sheet, address and branch.",Use a typed immutable state record; optional orientation and uncertainty extensions.,retain,S6,5-7,Core data model.
A03,Information architecture,Relation family R_j(q)=0,World geometry/constraints are equations rather than frame snapshots.,"Store typed relations with parameters, domains and solver capability metadata.",retain,S6,5-12,Restrict to relation families with known solvers for the prototype.
A04,Information architecture,Support predicate C<=0,Only relations inside a declared local support are candidates.,Separate admission/support from geometry and from compatibility.,retain,"S5,S6",3-7;5-12,Supports analytic pruning.
A05,Information architecture,Compatibility predicate chi,Co-location is insufficient; phase/sheet/mode/time/policy must match.,Compose physical and digital compatibility predicates.,retain,"S5,S6",3-7;5-12,"Return reason codes, not only a bit."
A06,Information architecture,Event time t*,The next event is the earliest supported compatible relation root.,Compute min valid root after t0 with tolerance and confidence.,retain,"S5,S6",3-7;5-12,Multiple roots and tangencies need policy.
A07,Information architecture,Transition rule T_j,Crossing an event surface updates sheet/phase/branch/invariants.,Use pure transition functions producing state patches and event records.,retain,"S5,S6",5-7;5-12,Preserve pre/post states and provenance.
A08,Information architecture,Lineage address,Identity persists by generative address and invariant history.,Use stable entity IDs plus parent/merge ancestry and transition lineage.,retain,"S5,S6,S7",3-12;1-12;26-35,Coordinates are not identity.
A09,Information architecture,Irreducible external event log,Novel exogenous events must be recorded even when closed dynamics are recomputable.,"Event-source only novelty, transitions, confidence and calibration changes.",retain,"S5,S6",7-11;1-12,No zero-memory claim.
A10,Information architecture,Query-first API,"Ask state_at(t), next_event, events_in_support, coupling and identity.",Expose direct query methods independent of a frame loop.,retain,"S5,S6",3-12;1-12,Projection is downstream.
A11,Information architecture,Projection adapter,"Images are optional outputs, not the authoritative state.",Place raster/raymarch/SDF preview in a replaceable adapter layer.,retain,"S3,S6",1-10;1-12,Do not mistake the projector for the state space.
A12,Information architecture,Hybrid layer separation,"Persistent world state, local sensing and display remain distinct.",Use core/query/projection/hardware modules with explicit interfaces.,retain,"S5,S6",2-12;1-12,Avoid polar-everything and raster-everything.
A13,Information architecture,Branch and chamber routing,Events route state through branches/sheets/chambers.,Use finite enums and explicit routing tables.,retain,"S6,S7",5-12;23-31,Avoid implicit magic routing.
A14,Information architecture,Uncertainty/confidence,"Verified outputs include error, confidence and calibration.",Attach numeric intervals/confidence and solver status to every event.,retain,"S5,S6",1-12;8-12,Essential for real systems.
A15,Information architecture,Schema-bound packed data caution,Raw packed bits are meaningless without layout metadata.,Version all bitfields/LUTs and ship schema with data.,retain,"S2,S8,S9,S5",27-29;26-28;26-28;7,Useful contrast from the COBOL sections.
A16,Information architecture,Agent on shared relation substrate,Perception/action can issue the same support/event queries.,"Keep agent integration minimal: queries and transition choices, not universal AI compression.",translate,"S6,S7",11-12;34-36,Do not claim an LLM is replaced by the geometry.
K01,Game technology,Analytic motion component,Position/velocity/acceleration are closed-form trajectories.,Entity component stores trajectory coefficients and state patches.,retain,"S6,S7,S4",7-12;26-31;10-16,Supports horizon skipping for fixed formulas.
K02,Game technology,Continuous collision/event component,Collisions are relation roots under support/compatibility.,Event solver returns ordered crossings with guard semantics.,retain,"S6,S7",7-12;26-31,Fallback numerical solver is allowed.
K03,Game technology,Sensor cone component,Agent/sensor relevance uses local radial-angular supports.,FOV/range query before relation solving.,retain,"S5,S6,S7",3-9;5-12;12-25,Useful in Unity/Godot/ECS adapters.
K04,Game technology,Procedural grammar component,L-system/shape grammar generates bounded relation sets.,"Compile grammar tokens to primitives, supports and transitions.",retain,"S6,S7,S9",11-12;26-31;5-8,Finite depth and normalization required.
K05,Game technology,Topological portal component,Mobius/Klein/hourglass routes connect spaces with orientation/sheet changes.,"Portal has entry surface, exit transform, sheet map and lineage event.",retain,"S5,S6,S7,S9",2-7;5-12;18-25;5-8,Can be rendered conventionally while simulated symbolically.
K06,Game technology,Deterministic network/event replication,Seed plus event log reconstructs closed dynamics.,"Replicate authoritative events and schema versions, not every visual frame.",translate,S6,8-12,Only works where deterministic formulas are stable across platforms.
K07,Game technology,Graphics preview component,SDF/log-polar/jitter projects core state to pixels.,Optional GPU or CPU preview; no authority over simulation.,retain,"S1,S3,S6",10-15;1-10;9-10,Provides practical game-engine visualization.
H01,Hardware endpoint,Bounded Compatibility Event (B.C.E.),"A verified event is declared only after support, compatibility and a measured guard crossing.",Reuse the core event schema for a measured optofluidic front end.,retain,S5,1-12,The best-defined physical endpoint in the corpus.
H02,Hardware endpoint,Local support -> liquid lens -> mode -> guard,"Radial-angular input is tuned, coupled, interfered and thresholded.","Separate optical, fluid, mode and digital-control models.",retain,S5,3-9,"Maxwell, Young-Laplace/coupled-mode theory and control logic stay type-separated."
H03,Hardware endpoint,Matrix-in-glass,A waveguide mesh implements a calibrated transfer function.,"Treat as a measured passive/tunable transfer matrix, not stored imagery.",retain,S5,2-5,Requires calibration and drift tracking.
H04,Hardware endpoint,One-bit hardware route flag,"Parity denotes admission/route/freshness, not amplitude.","Store amplitudes, thresholds, uncertainty and lineage separately.",retain,S5,2-7,Same type-safety rule as software.
H05,Hardware endpoint,Spherical throughput metric,Count verified events/queries per second at a declared error budget.,"Report support, compatibility, miss/false rates, energy, latency and drift.",retain,S5,"3,6,9-12",Not photon flux alone.
H06,Hardware endpoint,Hollowlens-0 demonstrator,"Scanned input, tunable liquid coupler, 2x2 interferometer, balanced detectors, digital sidecar.","Prototype only after guard, compatibility, calibration and baseline are preregistered.",retain,S5,"4,8-10",Can fail usefully.
