id,claim,source_pages,evidence_status,disposition,notes
C25,"The Ben Burgers overlap can be read as shared domain, interference, or tolerance.",S4 pp.16-19,geometric brainstorming,retain as analogy,No unique mathematical ratio established.
C26,Zero-based indexing changes 21+7+7 from 35 to 36.,S4 pp.1-3,incorrect if read as arithmetic,correct,35 is an index naming the 36th position.
C27,Hollowlens-0 is a bounded optofluidic demonstrator with a digital sidecar.,"S6 pp.4,7-10",canonical prototype,retain,"Must preregister support, modes, thresholds, error and energy boundary."
C28,Matrix-in-glass is a calibrated optical transfer function.,"S6 pp.2,5",bounded hardware translation,retain,Not a zero-cost computer.
C29,Double vacuum in hardware can be implemented as uncoupled or isolated modes/channels.,"S6 pp.2,4",bounded hardware translation,retain,Measure crosstalk and false events.
C30,"Spherical throughput is verified events per second with support, compatibility, guard and confidence.","S6 pp.3,6,11",canonical metric,retain,"Report loss, energy, miss/false rates and calibration."
C31,The integrated optical system has proven an advantage over matched electronics.,S6 pp.9-12,not established,test,Component feasibility is not system validation.
C32,"The architecture has zero latency, zero heat, zero power, or zero memory.","S2 pp.15,26-35; S5 multiple; S6 pp.2,10",explicitly rejected totalizing claim,reject,All physical and computational layers carry cost.
C33,The architecture universally solves chaos or all PDEs exactly.,S2; S5; S6 p.10,explicitly rejected totalizing claim,reject,Restricted relation families only.
C34,"The architecture directly controls biology, gene expression, CRISPR, protein folding, or medical outcomes.",S5 pp.3-6; S6 p.10,unsupported application claim,exclude,At most a simulation/design prompt; not a mechanism.
C35,"Political, psychological, and personal narratives in later source pages are technical proof.",S3 later pages; S5 pp.13-35,metaphorical narrative,exclude from core,"Preserve as provenance, not system mechanism."
C36,A person or identity can become physically untouchable through phase sheets or UUIDs.,"S5 pp.14-18,32-35",unsupported literal claim,reject,Reinterpret only as access-control/provenance metaphor.
C37,The headless query-first prototype is the truest first experiment.,"S1 pp.9,11-12; S6 p.9",canonical recommendation,retain,Avoid renderer-first benchmarking.
C38,A hybrid engine remains a practical bridge.,S1 p.9,supported engineering bridge,retain,Stable core plus optional rendering/volumetric stages.
C39,"Numerical conditioning is part of the ontology, not an implementation afterthought.",S1 pp.8-9,canonical risk,retain,"Log coordinates, tangencies, coincident surfaces, rank changes."
C40,"The first useful benchmark is six queries: state, next event, events in cone, phase coupling, transition routing, identity rebuild.",S1 pp.11-12,canonical experiment plan,retain,Forms the Equation World Zero exit criteria.
