term,category,normalized_meaning,formal_role,source_pages,status
Prepress adapter,graphics/output,"A static 1-bit halftone path: CMYK mapping, log-polar blue noise, SDF edge lock, and dot-gain compensation.",1-bit TIFF/PDF,S7 pp.8-10,projection-layer proposal
Materialized view,information science,"A rendered image, mesh, cache, or sampled field derived from the authoritative relation/event state. This term is the report's information-science translation.","view(Q,query)","S1 pp.1,9-10; S5 p.9",decoder inference
B.C.E.,event/hardware,"Bounded Compatibility Event: support admitted, channel compatible, guard crossed, and confidence threshold met.",support and chi and g=0,"S6 pp.1,3,5,7",canonical bounded operator
Spherical throughput,metrics,"Verified compatible events or answered queries per second at a declared error budget, not raw photon flux or propagation speed.",Theta_sph=N_verified/Delta t,"S6 pp.3,6,11",canonical metric
Matrix-in-glass,hardware,A calibrated passive or tunable optical transfer matrix in a waveguide mesh. It is not a stored picture or zero-energy computer.,optical transfer matrix,"S5 pp.47-50; S6 pp.2,5",bounded hardware translation
Liquid substrate,hardware,"A liquid lens, overclad, or core coupled to a solid photonic substrate to tune focus, effective index, phase, or mode coupling.",n_eff(u),"S5 pp.58-64; S6 pp.2-5,8",bounded hardware translation
Hollowlens-0,prototype,"A minimum optofluidic demonstrator: scanned input, tunable liquid coupler, 2x2 interferometer, balanced detectors, digital sidecar, and pre-registered event tests.",prototype stack,"S6 pp.4,7-10",canonical prototype
Digital sidecar,hardware/control,"Conventional electronics for calibration, thresholds, uncertainty, lineage, policy, drift detection, and fallback. Its necessity prevents magical zero-latency claims.",FPGA/MCU,"S6 pp.4,7-10",canonical control element
Type safety,method,"Keep electromagnetics, fluid mechanics, coupled-mode theory, event logic, topology, and information semantics in their own domains with explicit interfaces.",domain separation,"S6 pp.2,5",canonical engineering discipline
Equation World Zero,prototype,"Restricted headless prototype with low-dimensional homogeneous coordinates, continuous time, two sheets, one orientation bit, bounded relation families, finite grammar depth, lineage, and symbolic outputs.",EW0,"S1 pp.7,11-12",canonical prototype
Universal O(1),claim boundary,The mature sources reject a universal constant-cost universe. Only fixed closed expressions may have horizon-independent state evaluation.,not accepted,"S1 pp.1,8; S6 p.10",rejected totalizing claim
Zero memory / heat / latency,claim boundary,"Rejected as system claims. Storage, branch history, optical sources, actuation, detection, calibration, and control all carry costs.",not accepted,"S1 pp.1,8; S6 pp.2,10",rejected totalizing claim
Biological or medical control,claim boundary,"The corpus contains analogies and application prompts, but the bounded engineering report explicitly makes no general biological or medical mechanism claim.",not established,S5 pp.3-6; S6 p.10,excluded from technical core
