id,name,equation,domain,origin,meaning,requirements,source
MET-02,Verified event count,N_verified = Σ_q 1[S_q]1[χ_q]1[g_q crossed]1[c_q≥c_min],measurement,source,"Count only events passing support, compatibility, guard and confidence.",Declare all indicators and confidence rule.,Spherical Throughput p.6
GEO-01,Log-polar transform,"r = √(x²+y²);  ρ = ln(r/r0);  θ = atan2(y,x)",geometry / imaging,source + standard,Scale-like radial changes become translations in ρ.,"Origin handling, sampling and inverse transform.",DMT pp.2-3; KC Vector Art p.1
GEO-02,SDF surface,d(x)=0,implicit geometry,source + standard,Zero level set defines a boundary.,Sign/orientation convention and numerical tolerance.,Hollowland pp.16-18; KC Vector Art pp.1-2
GEO-03,SDF CSG union,"d_union(x) = min(d1(x), d2(x))",implicit geometry,source + standard,Implicit union.,Result may not retain exact distance everywhere.,KC Vector Art p.2
GEO-04,SDF CSG intersection,"d_intersection(x) = max(d1(x), d2(x))",implicit geometry,source + standard,Implicit intersection.,Result may not retain exact distance everywhere.,KC Vector Art p.2
GEO-05,SDF CSG subtraction,"d_subtract(x) = max(d1(x), −d2(x))",implicit geometry,source + standard,Implicit difference.,Sign convention required.,KC Vector Art p.2
LA-01,Eigenpair relation,A v = λ v,linear algebra,source + standard,Direction v is preserved by A and scaled by λ.,v≠0; matrix/operator domain.,Hollowland pp.20-23
LA-02,Orthogonality test,v·w = 0,linear algebra,source analogy,Zero inner product under the chosen metric.,Does not imply physical invisibility or no interaction unless model defines coupling this way.,"ADDominUS pp.7-18,32-35"
RD-01,Two-field reaction-diffusion,"∂u/∂t = D_u∇²u + f(u,v);  ∂v/∂t = D_v∇²v + g(u,v)",chemical / biological patterning,standard science added by decoder,Local kinetics plus spatial diffusion produce patterns/fronts.,"Specify species, kinetics, diffusion and boundary conditions.",DMT pp.25-27; external standard model
BIO-01,Advection-diffusion-reaction transport,∂c_i/∂t + v·∇c_i = ∇·(D_i∇c_i) + R_i(c),biochemical transport,standard science added by decoder,A realistic bridge from blood/fluid metaphors to solute transport.,"Species, reactions, flow field and boundary fluxes.",Decoder grounding for ADDominUS blood-plasma prose
BBMB-01,Benjamin-Bona-Mahony-Burgers equation,U_t + U_x + U U_x − m U_xx − U_xxt = 0,nonlinear waves,external standard grounding,One-dimensional nonlinear dispersive-dissipative wave model.,Initial/boundary conditions and parameter m.,"Scientific Reports 14, 13520 (2024), Eq.1"
CS-01,Zero-based position,offset 35 from index 0 = 36th element,computer science,source + standard,Index value and ordinal position differ by one.,Arithmetic remains 21+7+7=35.,Ben Burgers pp.1-6
CS-02,Bit shift,35<<1 = 70; 35>>1 = 17 (integer shift),computer science,source + standard,Binary shift multiplies/divides by powers of two.,Language-specific signed/rounding behavior.,Ben Burgers p.1
CHEM-01,DMT molecular formula,C12H16N2,chemistry,external standard grounding,"Neutral N,N-dimethyltryptamine composition.",Salt/protonation form changes formula.,PubChem CID 6089
CHEM-02,DMT connectivity,SMILES: CN(C)CCc1c[nH]c2ccccc12,chemistry,external standard grounding,Indole-ethyl-tertiary-amine molecular graph.,"2D connectivity, not a unique 3D conformation.",PubChem CID 6089
OPT-05,Log encoding,Y_log = A·log(I) + B,imaging,source design,Compresses intensity dynamic range.,"Black level, sign, zero handling and inverse transform.","DMT pp.3,9"
PDE-01,Laplacian,∇²f = Σ_i ∂²f/∂x_i²,mathematics / diffusion,source + standard,"Measures local curvature and appears in diffusion, optics and mechanics.",The source's psychological 'equilibrium' reading is metaphor.,DMT pp.4-10
SIG-01,Pulse-density estimate,amplitude ≈ pulse count / time window,signal processing,source design + standard,Represent average level using density of one-bit pulses.,"Bandwidth, quantization noise and filtering.",KC Vector Art pp.4-6
SIG-02,Scale as log-radius shift,r→a r  ⇒  ρ→ρ+ln a,geometry / imaging,standard consequence,Multiplicative scaling becomes additive translation in log radius.,Only applies to pure radial scaling under chosen origin.,KC Vector Art pp.7-8
