claim,source_location,classification,evidence,scientific_verdict,required_test
DMT's molecular structure is encoded in the alchemical prose.,DMT p.1 and throughout,NOT SUPPORTED,DMT functions as a metaphor; no bond graph or atom list is encoded.,No uniquely recoverable hidden structure.,None; use standard chemical databases for the molecular graph.
DMT is C12H16N2 with an indole core and tertiary dimethylamine side chain.,Decoder external grounding,ESTABLISHED CHEMISTRY,Standard chemical identity.,Correct for neutral free base.,Not applicable; distinguish salts/protonation.
Water/glycerol mixtures can act as tunable liquid optical media.,Spherical Throughput p.8,PLAUSIBLE MATERIAL OPTION,Explicit candidate in source; established optofluidic materials concept.,"Yes, subject to absorption, index, viscosity and packaging.",Spectral/material characterization.
All fluid atoms are spherical and should be stored in a spherical LUT.,DMT pp.15-18,MODEL METAPHOR,Source treats individual fluid components as spherical.,Hard-sphere/kernels are approximations; real molecules are anisotropic and quantum mechanical.,Compare approximation error against molecular model.
Reaction-diffusion can generate fronts and patterns.,DMT pp.25-27,ESTABLISHED SCIENCE,Source invokes concentration waves and straight fronts.,Correct in appropriate chemical/biological systems.,Specify reaction kinetics and diffusion coefficients.
Reaction-diffusion explains every straight crystal facet or whisker.,DMT pp.25-27,OVERGENERALIZED,Source maps straight features to stabilized wave fronts.,Crystal facets arise from anisotropic free energies/kinetics; whiskers involve growth and mechanics; reaction-diffusion may contribute but is not universal.,Material-specific growth model and measurements.
Microsaccades implement a binary search over a slit.,DMT pp.28-30; ADDominUS pp.49-62,UNSUPPORTED ANALOGY,Source calls eye jitter a one-bit search.,"Microsaccades are fixational eye movements, not a literal binary-search algorithm.",Oculomotor experiment and computational model.
Bee vision is simply 300 FPS versus human 60 FPS.,DMT pp.13-15,MISLEADING SIMPLIFICATION,Source uses display-frame terminology for flicker perception.,"Temporal resolution varies by species, illumination, receptor and neural processing; 'FPS' is not a universal eye property.",Species- and condition-specific flicker-fusion measurements.
White light is a packet of discrete color strings.,DMT pp.13-15,INCORRECT PHRASING,Source treats color separation as discrete strings.,"Light has a spectral distribution; photons have quantized energy, but color is not a set of literal strings.",Use spectral radiometry and quantum optics terminology.
A log-radius channel offset corrects all chromatic aberration at zero cost.,KC Vector Art pp.7-8,OVERCLAIM,Source proposes constant ρ offsets.,Can approximate scale-like lateral aberration; cannot correct all wavelength-dependent field aberrations and still costs computation/calibration.,Lens-specific distortion calibration and image-quality comparison.
Feynman vectors are a defined Kees Klootwijk rendering primitive.,KC Vector Art pp.1-8,UNDEFINED / UNVALIDATED,"No formal definition, derivation or implementation is supplied.","Closest established structures are complex phasors, wave amplitudes and path integrals.","Formal semantics, algorithm and reproducible implementation."
1-bit PDM/delta-sigma can represent continuous tone temporally.,KC Vector Art pp.4-6,ESTABLISHED SIGNAL-PROCESSING IDEA,Source maps amplitude to pulse density.,Correct in a bandwidth-limited system with filtering/integration.,"Quantization-noise, flicker and panel-bandwidth measurements."
Log-polar blue-noise screening is useful for radial art/prepress.,KC Vector Art pp.8-10,PLAUSIBLE DESIGN IDEA,Source proposes radius-dependent stochastic screening.,"Potentially useful, but not a standard validated prepress method.","Moiré, dot gain and perceptual print tests against conventional screens."
CRISPR work is merely a 20-character search followed by blind injection.,ADDominUS pp.4-6,RHETORICAL OVERSIMPLIFICATION,Source accurately names guide RNA/Cas9 but dismisses broader laboratory design.,"Genome editing includes target design, biochemical validation, delivery, repair outcomes and off-target analysis.",Compare against actual experimental workflow.
A phase/eigenvalue controller can eliminate gene-expression mistakes or cancer.,ADDominUS pp.2-5,UNSUPPORTED MEDICAL CLAIM,"No molecular target, intervention, model or evidence.",Not established.,"Mechanistic preclinical evidence, safety and clinical validation."
Protein folding can be solved exactly and instantly as a procedural grammar.,ADDominUS pp.4-6,UNSUPPORTED GENERALIZATION,Source offers no sequence-dependent energy model or solver.,"Protein ensembles are complex and context-dependent; some predictions are tractable, exact dynamics are not generally closed-form.",Benchmark against experimental structures/dynamics across diverse proteins.
Blood plasma can be therapeutically tethered to an eigenvector axis.,ADDominUS pp.42-44,UNSUPPORTED MEDICAL METAPHOR,No physical actuator or clinical mechanism.,Flow can be modeled; 'eigenvector tethering' is not a treatment.,"Specify device, forces, biological endpoints and safety."
The spike protein punctures a human cell wall like a mechanical key.,DMT pp.43-44,INCORRECT,"Human cells lack cell walls; entry mechanisms involve receptors, proteases and membranes.",Wrong as stated.,Use virus-specific cell-entry literature.
Opossum venom resistance implies universal viral immunity or metabolic absolute zero.,DMT pp.33-40,FALSE GENERALIZATION,"Venom-neutralizing factors are toxin-specific biological chemistry, not universal antiviral state.",Not supported.,Virus-specific immunology and challenge studies.
The Resident Evil T-virus can be decoded into real biochemistry.,DMT pp.33-35,FICTION,Narrative franchise element.,No real molecular structure exists in the source.,None.
BBMB dynamics justify the document's two-D/φ overlap geometry.,Ben Burgers pp.16-19,NOT DERIVED,"Search result mentions BBMB, but the prose does not connect its PDE to the overlap by derivation.",No established link.,Derive geometry from a PDE solution and boundary conditions.
Two overlapping arches must be 1:1 to prevent an accretion disk tearing.,Ben Burgers pp.13-15,UNSUPPORTED,No warped-disk equations or parameters are supplied.,No universal ratio.,"Use established warped-disk dynamics with torque, viscosity and boundary conditions."
The slight φ/D overlap can be interpreted as A∩B.,Ben Burgers pp.18-19,VALID ABSTRACT INTERPRETATION,Source explicitly identifies shared domain/mutual information.,Correct as set geometry; other physical meanings require a model.,Define sets and measure overlap.
Replacing BVHs and octrees with compatibility bits is always faster.,Hollowland pp.31-33; ADDominUS pp.21-25,UNSUPPORTED GENERALIZATION,No workload or asymptotic comparison.,"Performance depends on sparsity, support selectivity, relation cost and hardware.",Matched benchmarks across spatial distributions.
"1,000,000 entities fit under 32 MB universally.",Hollowland pp.33; ADDominUS p.11,UNSUPPORTED SPECIFIC NUMBER,No state layout or accounting is shown.,"Possible for very compact records, not a universal world-state claim.",Publish byte-level schema and total allocator/solver memory.
A 64-bit ontological UUID is collision-free identity.,"ADDominUS pp.7-11,25",UNSUPPORTED ABSOLUTE CLAIM,64-bit spaces have finite collision probability and lineage data may exceed 64 bits.,"Useful compact ID, not guaranteed uniqueness without policy.","Collision analysis, namespace, merge/split and provenance design."
An equation-world can replace all PDE solvers and renderers.,Earlier grand claims; rejected in Spherical Throughput p.10,REJECTED BY LATER SOURCE,Later report explicitly excludes replacement of all renderers/PDE solvers.,No universal replacement.,Domain-specific benchmark only.
A BCI can retroactively erase or nullify bodily intrusion by phase separation.,ADDominUS pp.26-36,UNSUPPORTED / SAFETY-SENSITIVE NARRATIVE,"No credible hardware, neurophysiology or causal mechanism.",Not a medical or engineering capability.,"Do not treat as factual; any BCI work requires ethical, clinical and regulatory validation."
The document can make a person physically untouchable or invisible.,ADDominUS pp.28-36,NONLITERAL / UNSUPPORTED,Uses vector orthogonality and topology as sovereignty metaphors.,No physical mechanism.,None; interpret as narrative boundary language only.
A country or social system can be physically domain-warped by a global matrix.,ADDominUS pp.12-18,METAPHOR / MODELING ANALOGY,Social/political language is mapped onto geometry.,"One may model networks/state transitions, but not literally warp a country.",Define measurable social variables and model validation.
The prototype should be headless/query-first rather than a renderer demo.,"Chronological pp.9,12; Spherical Throughput p.9",SUPPORTED RESEARCH RECOMMENDATION,Both mature documents prioritize state/event outputs and pre-registered metrics.,Methodologically sound for testing the core claim.,Build digital transfer model before optical hardware.
Success requires compatibility + event-solving cost to grow more slowly than avoided materialization.,Chronological p.8; Spherical Throughput p.6,SUPPORTED FALSIFIABILITY CRITERION,Explicit core benchmark criterion.,Appropriate engineering test.,Measure both sides under controlled workloads.
