term,category,source_meaning,technical_translation,status,caveat,source_anchors
spherical throughput,measurement,Performance metric for the bounded system.,"Verified events or answered queries per second after support, compatibility, guard and confidence filters.",SOURCE-DEFINED METRIC,"Must report energy, insertion loss, latency, error and calibration.","Spherical Throughput pp.3,6,11-12"
DMT,chemistry,Metaphor for a gateway to hidden dimensions.,"N,N-dimethyltryptamine, C12H16N2: an indole tryptamine with a two-carbon chain ending in a tertiary dimethylamine.",ESTABLISHED CHEMISTRY ADDED BY DECODER,The prose does not encode a hidden molecular graph; the structure is supplied from standard chemistry.,DMT p.1
indole ring,chemistry,Not explicitly decomposed in the source.,Fused benzene-pyrrole aromatic heterocycle in DMT.,ESTABLISHED CHEMISTRY ADDED BY DECODER,"Decoder annotation, not recovered alchemical code.",DMT title/p.1
tertiary dimethylamine,chemistry,Not explicitly decomposed in the source.,DMT side-chain nitrogen bonded to two methyl groups and an ethyl-indole chain.,ESTABLISHED CHEMISTRY ADDED BY DECODER,Protonation state depends on pH and salt form.,DMT title/p.1
water / glycerol mixture,chemistry / materials,Candidate liquid region for the lens.,Characterizable polar liquid mixture for refractive-index and viscosity tuning.,ESTABLISHED MATERIAL OPTION,"Exact composition, absorption, volatility and compatibility must be selected experimentally.",Spherical Throughput p.8
hydrogen bonding,chemistry,"Implicit in water/glycerol materials, not discussed.","Intermolecular O-H···O interactions affecting viscosity, wetting and refractive properties.",ESTABLISHED CHEMISTRY ADDED BY DECODER,Not a rigid bond network; temperature and composition matter.,Spherical Throughput p.8
CRISPR-Cas9,biochemistry,Guide RNA plus Cas9 cuts DNA; criticized as trial-and-error.,"RNA-guided DNA endonuclease system; editing outcome depends on target, PAM, delivery and cellular repair.",ESTABLISHED BIOCHEMISTRY + SOURCE RHETORIC,"The source supplies no sequence, kinetic model or validated replacement method.",ADDominUS pp.4-6
protein folding,biochemistry,Dynamic vibrating grammar rather than static snapshots.,Sequence-dependent conformational ensemble on a free-energy landscape.,ESTABLISHED BIOCHEMISTRY + SOURCE ANALOGY,"No protein sequence or atomic coordinates are present, so no specific fold can be reconstructed.",ADDominUS pp.4-6
gene expression,biochemistry,Proposed phase/eigenvalue control of biological mistakes.,"DNA transcription, RNA processing/turnover, translation and protein regulation.",ESTABLISHED BIOLOGY + UNSUPPORTED CONTROL CLAIM,No evidence that a global φ scaling law can prevent expression errors or cancer.,ADDominUS pp.2-5
blood plasma,biology / fluid mechanics,Continuous Navier-Stokes manifold to be tethered.,"A multicomponent biological fluid that can be modeled by flow, transport and boundary conditions.",DECODER TRANSLATION,"Clinical prediction requires validated rheology, vessel geometry, biochemical reactions and measurements; algebraic phase sheets are not treatment.",ADDominUS pp.42-44
viral spike puncturing a cell wall,virology,Mechanical key punctures O/cell wall.,"For enveloped human viruses such as SARS-CoV-2, entry involves receptor binding, protease priming and membrane fusion/endocytosis.",INCORRECT/MISAPPLIED,"Human cells have plasma membranes, not cell walls; virus-specific mechanisms vary.",DMT pp.43-44
T-virus / Hive,biology / fiction,Resident Evil infection architecture.,Narrative analogy only.,FICTION/METAPHOR,No real biochemical structure or mechanism can be extracted.,DMT pp.33-35
opossum venom resistance,biology,Universal immune phase-lock/cancellation.,Opossum serum has inspired venom-neutralizing peptide research.,ESTABLISHED LIMITED FACT + UNSUPPORTED GENERALIZATION,Venom neutralization does not imply universal viral immunity or an 'absolute zero' state.,DMT pp.33-40
fluid atoms are spherical,chemistry,Individual fluid components modeled as spheres in a spherical LUT.,Particle methods sometimes approximate atoms/molecules as spheres or kernels.,MODEL APPROXIMATION,"Real molecular geometry and interactions are anisotropic, quantum-mechanical and bond-specific.",DMT pp.15-18
BBMB equation,mathematics / fluid waves,Ben Burgers title and search-result association.,"U_t+U_x+U U_x-mU_xx-U_xxt=0, a nonlinear dispersive-dissipative wave PDE.",ESTABLISHED EXTERNAL GROUNDING,The document does not derive this PDE; its φ-overlap and accretion-disk claims are unrelated unless a model is specified.,Ben Burgers pp.16-19; external Scientific Reports 2024
1:1 double-arch accretion-disk balance,astrophysics,Claimed mathematically correct ratio preventing tearing.,No unique universal ratio follows from warped-disk dynamics.,UNSUPPORTED CLAIM,"Warped disks require torque, viscosity/wave propagation and boundary-condition models.",Ben Burgers pp.13-16
universal O(1),complexity,Constant time across infinite horizons.,At most: horizon-independent evaluation for a fixed closed expression.,OVERCLAIM CORRECTED BY CORPUS,"Event solving, compatibility, expression growth and branching are not universally constant.","Chronological pp.1,8; Spherical Throughput p.10"
zero memory,complexity,Infinite world stored as equations only.,Potential reduction by regeneration from seed/grammar and logging novelty.,OVERCLAIM CORRECTED BY CORPUS,"Parameters, calibration, external logs, branches and numerical state consume memory.","Chronological pp.1,8; Spherical Throughput p.10"
zero heat / zero power / zero latency,hardware,Passive photonics solves at speed of light.,Optical propagation can be fast and passive elements can reduce some energy costs.,OVERCLAIM REJECTED,"Sources, modulators, actuators, detectors, conversion, control and calibration consume time and energy.","Spherical Throughput pp.2,10"
general AI / world-agent identity,AI,One algebraic substrate fuses physics and cognition.,"Research hypothesis about shared representation for perception, state and action.",SPECULATIVE / UNVALIDATED,"No learning rule, semantic grounding, benchmark or model compression proof is supplied.","Chronological pp.1,11; Spherical Throughput p.10"
BCI / telepresence bodily control,medical / safety,"Phase separation, ghost shield and retroactive nullification of bodily intrusion.",No valid engineering or medical mechanism is supplied.,UNSUPPORTED NARRATIVE,Should not be interpreted as evidence of remote bodily occupation or as a treatment design.,ADDominUS pp.26-36
