id,layer,domain,mechanism,source,definition,disposition,validation,implementation
M053,UGTS-GN 1.1 source/normalization baseline,Routing geometry,Four-chamber hourglass,S03 p.6; S08 pp.23–26,Four routing sectors meet at a central rank-changing locus.,TRANSLATE,Canonical abstraction,See supplied UGTS-GN 1.1 package description
M054,UGTS-GN 1.1 source/normalization baseline,Routing geometry,Pinch event locus,S03 p.6; S05 pp.2–5,"A guard surface at which rank, route or mode changes.",RETAIN,Measurable,See supplied UGTS-GN 1.1 package description
M055,UGTS-GN 1.1 source/normalization baseline,Routing geometry,Invariant eigen-axis,S03 p.6; S08 pp.21–25,A tagged axis/mode remains invariant across route transition.,TRANSLATE,Specified,See supplied UGTS-GN 1.1 package description
M056,UGTS-GN 1.1 source/normalization baseline,Routing geometry,Swept phase arc,S03 p.6; S08 pp.23–25,Phase parameter maps between routing sectors.,TRANSLATE,Specified,See supplied UGTS-GN 1.1 package description
M057,UGTS-GN 1.1 source/normalization baseline,Routing geometry,Trident 3-to-1 convergence,S01 pp.25–27,Three input channels merge into one event/reset channel.,TRANSLATE,Constructive,See supplied UGTS-GN 1.1 package description
M058,UGTS-GN 1.1 source/normalization baseline,Fluid threshold,Pythagorean-cup trigger,S01 pp.27–29,Hysteretic threshold state machine with latch and reset.,RETAIN,Physical principle established; corpus mapping unvalidated,See supplied UGTS-GN 1.1 package description
M059,UGTS-GN 1.1 source/normalization baseline,Fluid threshold,Greedy reset cycle,S01 pp.27–29,"On trigger, emit event then reset selected accumulator/state.",TRANSLATE,Specified,See supplied UGTS-GN 1.1 package description
M060,UGTS-GN 1.1 source/normalization baseline,Glyph geometry,Inward G/shelf transform,S06/S07/S10 pp.30–31,Additional glyph grammar rule; not core topology.,OPTIONAL,Exploratory,See supplied UGTS-GN 1.1 package description
M061,UGTS-GN 1.1 source/normalization baseline,Topology geometry,Lemniscate crossing,S09 pp.18–25,A crossing with orientation/chirality state and two lobes.,TRANSLATE,Exploratory,See supplied UGTS-GN 1.1 package description
M062,UGTS-GN 1.1 source/normalization baseline,Topology geometry,Escher-style shrink to crossing,S09 pp.20–27,Use bounded log-scale coordinate; do not infer infinite physical resolution.,CORRECTED,Bounded,See supplied UGTS-GN 1.1 package description
M063,UGTS-GN 1.1 source/normalization baseline,Field geometry,Cone SDF,S06/S07/S10 pp.7–8,Implicit conical support/boundary function.,RETAIN,Specified,See supplied UGTS-GN 1.1 package description
M064,UGTS-GN 1.1 source/normalization baseline,Field geometry,Sphere SDF,S03/S05; benchmark,`f(p)=||p||-R` with zero guard.,RETAIN,Implemented and validated,See supplied UGTS-GN 1.1 package description
M065,UGTS-GN 1.1 source/normalization baseline,Topology,Möbius orientation reversal,S06/S07/S10 pp.4–6; S08 pp.10–14,A quotient boundary reverses orientation when traversed.,TRANSLATE,Mathematically exact abstraction,See supplied UGTS-GN 1.1 package description
M066,UGTS-GN 1.1 source/normalization baseline,Topology,Klein gluing map,"S03 pp.2,6; S05 p.5; S08 pp.7–14","Specify ports and an orientation- reversing identification; use as routing, not literal container.",TRANSLATE,Canonical abstraction,See supplied UGTS-GN 1.1 package description
M067,UGTS-GN 1.1 source/normalization baseline,Topology,"Same coordinate, different sheet",S03 p.6; S08 pp.15–19,State includes sheet/phase/address; coordinate equality alone does not imply coupling.,RETAIN,Implemented,See supplied UGTS-GN 1.1 package description
M068,UGTS-GN 1.1 source/normalization baseline,Topology,Non-orientable orientation bit,S03 pp.5–7,One bit records local orientation class and toggles at gluing maps.,RETAIN,Implemented,See supplied UGTS-GN 1.1 package description
M069,UGTS-GN 1.1 source/normalization baseline,Topology,Projected self-intersection,S06/S07/S10 pp.5–10,Treat apparent collision as two distinct sheet/address states unless physical interaction is specified.,CORRECTED,Specified,See supplied UGTS-GN 1.1 package description
M070,UGTS-GN 1.1 source/normalization baseline,Topology,Double vacuum as incompatibility,S03 p.6; S08 pp.6–18,"No coupling because compatibility is false, despite co-location.",RETAIN,Canonical,See supplied UGTS-GN 1.1 package description
M071,UGTS-GN 1.1 source/normalization baseline,Topology,Phase-separated co-location,S03 p.6,Phase is part of state and coupling law.,RETAIN,Specified,See supplied UGTS-GN 1.1 package description
M072,UGTS-GN 1.1 source/normalization baseline,Topology,Four-way routing partition,S03 pp.6–7,Two route bits select one of four sectors around an event locus.,TRANSLATE,Specified,See supplied UGTS-GN 1.1 package description
M073,UGTS-GN 1.1 source/normalization baseline,Topology,Portal/gluing transition,S03 pp.5–7,"At event, apply coordinate, sheet, orientation and lineage transform.",RETAIN,Specified,See supplied UGTS-GN 1.1 package description
M074,UGTS-GN 1.1 source/normalization baseline,Topology,Branch transition,S03 pp.5–8,Branch ID is updated only by a declared transition.,RETAIN,Specified,See supplied UGTS-GN 1.1 package description
M075,UGTS-GN 1.1 source/normalization baseline,Identity,Lineage-based identity,"S03 pp.5–8,11–12",Identity is seed/generative address plus transition history/invariants.,RETAIN,Canonical,See supplied UGTS-GN 1.1 package description
M076,UGTS-GN 1.1 source/normalization baseline,Identity,Split/merge lineage,"S03 pp.8,11–12",Splits create child addresses; merges require explicit reconciliation record.,RETAIN,Specified; stress test required,See supplied UGTS-GN 1.1 package description
M077,UGTS-GN 1.1 source/normalization baseline,Topology,Toroidal/poloidal chart labels,S01 pp.18–26,Use two periodic coordinates where appropriate; no claim of 4D physics follows.,TRANSLATE,Exploratory,See supplied UGTS-GN 1.1 package description
M078,UGTS-GN 1.1 source/normalization baseline,Topology,Re-entry map,S01 pp.18–28,Explicit transition maps output port to input address with optional orientation flip.,TRANSLATE,Specified,See supplied UGTS-GN 1.1 package description
M079,UGTS-GN 1.1 source/normalization baseline,Topology,Parity-controlled open/closed boundary,S06/S07/S10 pp.3–8,Parity selects one of two topology templates; changes occur at guarded events.,RETAIN,Specified,See supplied UGTS-GN 1.1 package description
M080,UGTS-GN 1.1 source/normalization baseline,Topology,Sphere eversion analogy,S08 pp.10–12,Useful visualization only; not required by substrate.,DEMOTE,Analogy,See supplied UGTS-GN 1.1 package description
M081,UGTS-GN 1.1 source/normalization baseline,Topology,Physical Klein self-assembly,S06/S07/S10 pp.9–12,Not supported; requires material mechanics and cannot be inferred from SDF parity.,REJECT,Unsupported,See supplied UGTS-GN 1.1 package description
M082,UGTS-GN 1.1 source/normalization baseline,Topology,Topology-powered energy recycling,S01 pp.25–29,Topology does not create or preserve usable energy without a loss/drive model.,REJECT,Dimensionally unsupported,See supplied UGTS-GN 1.1 package description
M083,UGTS-GN 1.1 source/normalization baseline,Information architecture,Finite grammar,"S03 pp.5–7,12",A bounded set of productions generates typed expressions/state.,RETAIN,Canonical,See supplied UGTS-GN 1.1 package description
M084,UGTS-GN 1.1 source/normalization baseline,Information architecture,L-system production,S06/S07/S10 pp.5–6,Parametric grammar operator with bounded depth and normalized output.,TRANSLATE,Depth must be bounded,See supplied UGTS-GN 1.1 package description
M085,UGTS-GN 1.1 source/normalization baseline,Information architecture,Projective-phase state manifold,S03 pp.5–7,"Typed product state, not a single coordinate array.",RETAIN,Implemented subset,See supplied UGTS-GN 1.1 package description
M086,UGTS-GN 1.1 source/normalization baseline,Information architecture,Typed state tuple,S03 pp.5–7,"Every field has unit, width and semantic convention.",RETAIN,Implemented,See supplied UGTS-GN 1.1 package description
M087,UGTS-GN 1.1 source/normalization baseline,Event calculus,Relation surface,S03 pp.5–7,An event candidate is a root of an explicit scalar relation.,RETAIN,Implemented sphere relation,See supplied UGTS-GN 1.1 package description
M088,UGTS-GN 1.1 source/normalization baseline,Event calculus,Support predicate,"S03 pp.5–7; S05 pp.3,6",Local domain selects relevant candidates before event solving.,RETAIN,Implemented,See supplied UGTS-GN 1.1 package description
M089,UGTS-GN 1.1 source/normalization baseline,Event calculus,Compatibility predicate,S03 pp.5–7; S05 p.7,Coupling requires phase/sheet/address/mode/policy compatibility.,RETAIN,Implemented subset,See supplied UGTS-GN 1.1 package description
M090,UGTS-GN 1.1 source/normalization baseline,Event calculus,Earliest valid event,S03 pp.5–7,Choose earliest certified root satisfying all gates.,RETAIN,Prototype subset,See supplied UGTS-GN 1.1 package description
M091,UGTS-GN 1.1 source/normalization baseline,Event calculus,Transition operator,S03 pp.5–7,Apply atomic state patch at event and preserve invariants.,RETAIN,Specified,See supplied UGTS-GN 1.1 package description
M092,UGTS-GN 1.1 source/normalization baseline,Persistence,External novelty log,"S03 pp.5–8,11–12",Closed dynamics may be rebuilt; unpredictable external changes are appended.,RETAIN,Implemented format,See supplied UGTS-GN 1.1 package description
M093,UGTS-GN 1.1 source/normalization baseline,Query architecture,state_at(t),S03 pp.6–8,Evaluate closed expression at requested time without replay when possible.,RETAIN,Restricted families only,See supplied UGTS-GN 1.1 package description
M094,UGTS-GN 1.1 source/normalization baseline,Query architecture,next_event,S03 pp.6–8,Support + compatibility + root solve + branch resolution.,RETAIN,Restricted families only,See supplied UGTS-GN 1.1 package description
M095,UGTS-GN 1.1 source/normalization baseline,Query architecture,events_in_cone,"S03 pp.6–7,11–12",Return events whose supports intersect query support.,RETAIN,Specified,See supplied UGTS-GN 1.1 package description
M096,UGTS-GN 1.1 source/normalization baseline,Query architecture,reachable relation query,S03 pp.6–7,Graph/grammar reachability under compatibility.,RETAIN,Specified,See supplied UGTS-GN 1.1 package description
M097,UGTS-GN 1.1 source/normalization baseline,Query architecture,identity reconstruction,S03 pp.7–12,Reconstruct identity without relying on current coordinate.,RETAIN,Specified,See supplied UGTS-GN 1.1 package description
M098,UGTS-GN 1.1 source/normalization baseline,Pruning,Support rejection,S03 pp.7–8; S05 p.6,Local analytic filter precedes expensive relation work.,RETAIN,Measured by SRG,See supplied UGTS-GN 1.1 package description
M099,UGTS-GN 1.1 source/normalization baseline,Pruning,Compatibility rejection,S03 pp.6–8; S05 pp.6–7,Filter supported candidates by typed mode/policy mask.,RETAIN,Measured by CRG,See supplied UGTS-GN 1.1 package description
M100,UGTS-GN 1.1 source/normalization baseline,Event calculus,Finite guard band,S05 pp.5–7; benchmark,Use epsilon band around relation zero to tolerate finite precision/noise.,RETAIN,Implemented,See supplied UGTS-GN 1.1 package description
M101,UGTS-GN 1.1 source/normalization baseline,Event calculus,Confidence threshold,"S05 pp.3,6–7",Event commits only if confidence/certification exceeds floor.,RETAIN,Implemented synthetic model,See supplied UGTS-GN 1.1 package description
M102,UGTS-GN 1.1 source/normalization baseline,Event calculus,Hysteresis/debounce,S05 p.10; S01 pp.27–29,Separate enter/exit thresholds and hold time.,RETAIN,Specified,See supplied UGTS-GN 1.1 package description
M103,UGTS-GN 1.1 source/normalization baseline,Numerics,Certified/bracketed root solve,"S03 pp.8–9,11–12",Return bounded root interval when exact analytic solve is unstable.,RETAIN,Future implementation,See supplied UGTS-GN 1.1 package description
M104,UGTS-GN 1.1 source/normalization baseline,Numerics,Tangency and degeneracy handling,S03 pp.8–11; S05 p.10,Classify derivative/rank conditions; avoid false crossing.,RETAIN,Risk register,See supplied UGTS-GN 1.1 package description
M105,UGTS-GN 1.1 source/normalization baseline,Field algebra,SDF zero as event boundary,S03 pp.6–7; S06 pp.7–8,"Zero is semantic transition surface, not a reason to raymarch indefinitely.",RETAIN,Canonical,See supplied UGTS-GN 1.1 package description
M106,UGTS-GN 1.1 source/normalization baseline,Field algebra,CSG union,S04 p.2,Implicit union operator.,RETAIN,Exact for SDF sign,See supplied UGTS-GN 1.1 package description
M107,UGTS-GN 1.1 source/normalization baseline,Field algebra,CSG intersection,S04 p.2; S02 pp.18–19,Implicit intersection/operator for overlap lens.,RETAIN,Exact for sign,See supplied UGTS-GN 1.1 package description
M108,UGTS-GN 1.1 source/normalization baseline,Field algebra,CSG subtraction,S04 p.2,Implicit difference.,RETAIN,Exact for sign,See supplied UGTS-GN 1.1 package description
M109,UGTS-GN 1.1 source/normalization baseline,Field algebra,SDF gradient orientation,"S04 pp.2,4,9",Gradient provides normal/orientation; finite difference or analytic derivative.,RETAIN,Specified,See supplied UGTS-GN 1.1 package description
M110,UGTS-GN 1.1 source/normalization baseline,Field algebra,Parity-conditioned field blend,S06/S07/S10 pp.7–8,Discrete state selects or interpolates implicit geometry.,TRANSLATE,Specified,See supplied UGTS-GN 1.1 package description
M111,UGTS-GN 1.1 source/normalization baseline,Indexing,Log-polar LUT,S01 pp.16–22; S04 pp.1–8,Index radial-angular parameters by additive log radius and angle.,RETAIN,Specified,See supplied UGTS-GN 1.1 package description
M112,UGTS-GN 1.1 source/normalization baseline,Indexing,BST-to-flat-table translation,S01 pp.15–22; S06/S07/S10 pp.5–6,Compile tree decisions into breadth- first arrays or direct bit tests; avoid pointer chasing on GPU.,CORRECTED,GPU-specific,See supplied UGTS-GN 1.1 package description
M113,UGTS-GN 1.1 source/normalization baseline,Complexity,Horizon-independent closed expression,S03 p.8,"For fixed expression size, state_at cost need not scale with skipped steps.",BOUNDED,Restricted claim,See supplied UGTS-GN 1.1 package description
M114,UGTS-GN 1.1 source/normalization baseline,Memory,Novelty-proportional retention,"S03 pp.8,11–12","Store seed/grammar/invariants and external events, not every frame, when reconstruction is valid.",BOUNDED,Depends on reconstructibility,See supplied UGTS-GN 1.1 package description
M115,UGTS-GN 1.1 source/normalization baseline,Persistence,Seed+grammar+log rebuild,S03 pp.7–12,"Deterministic replay from versioned seed, grammar and event log.",RETAIN,Specified,See supplied UGTS-GN 1.1 package description
M116,UGTS-GN 1.1 source/normalization baseline,Architecture,"Query-first, no mandatory frame loop","S03 pp.1,5–12",Authoritative runtime serves state/event queries; projection is optional.,RETAIN,Canonical,See supplied UGTS-GN 1.1 package description
M117,UGTS-GN 1.1 source/normalization baseline,Architecture,Optional projection,"S03 pp.1,9–10; S04",Render/print/display is a consumer of query results.,RETAIN,Canonical,See supplied UGTS-GN 1.1 package description
M118,UGTS-GN 1.1 source/normalization baseline,Event calculus,Bounded Compatibility Event,"S05 pp.3,5–7","Verified event requires support, compatibility, guard crossing and confidence.",RETAIN,Implemented synthetic / specified physical,See supplied UGTS-GN 1.1 package description
M119,UGTS-GN 1.1 source/normalization baseline,Persistence,Event lineage record,S03 pp.5–8; S05 p.7,"Event carries route, state flags, time/confidence and lineage.",RETAIN,Implemented,See supplied UGTS-GN 1.1 package description
M120,UGTS-GN 1.1 source/normalization baseline,Architecture,Schema-bound one-bit semantics,S05 p.7,Every bitfield is versioned and named by schema.,RETAIN,Implemented,See supplied UGTS-GN 1.1 package description
M121,UGTS-GN 1.1 source/normalization baseline,Networking,Deterministic rollback/replay,S08 pp.27–31; S03 pp.7–12,Replay versioned deterministic transitions plus external event log.,TRANSLATE,Restricted,See supplied UGTS-GN 1.1 package description
M122,UGTS-GN 1.1 source/normalization baseline,Risk,Algebraic closure,"S03 pp.8,11",Composition must remain in a normalized relation family or lose direct-query advantage.,RETAIN,Open risk,See supplied UGTS-GN 1.1 package description
M123,UGTS-GN 1.1 source/normalization baseline,Risk,Event/branch explosion,"S03 pp.8,11","Bound candidate count, branch depth and event density.",RETAIN,Open risk,See supplied UGTS-GN 1.1 package description
M124,UGTS-GN 1.1 source/normalization baseline,Governance,Query authority and policy,"S03 pp.6,11","Policy/provenance is part of compatibility, not hidden side logic.",RETAIN,Specified,See supplied UGTS-GN 1.1 package description
M125,UGTS-GN 1.1 source/normalization baseline,GPU-native,GLSL-to-SPIR-V compilation,Package gpu/shaders + gpu/spirv,Compile compute kernels to SPIR-V; bundled modules are SPIR-V 1.4.,RETAIN,Compiled and inspected,See supplied UGTS-GN 1.1 package description
M126,UGTS-GN 1.1 source/normalization baseline,GPU-native,Direct Vulkan compute runtime,Package gpu/src/ugts_vulkan_bench.cpp,"Create shader module, compute pipeline, descriptors, buffers and dispatch directly through Vulkan.",RETAIN,Executed,See supplied UGTS-GN 1.1 package description
M127,UGTS-GN 1.1 source/normalization baseline,GPU-native,Descriptor ABI,Package shader manifest,"Set 0 binding 0 state, 1 event, 2 counters/commit.",RETAIN,Validated,See supplied UGTS-GN 1.1 package description
M128,UGTS-GN 1.1 source/normalization baseline,GPU-native,256-thread workgroup,SPIR-V manifest,One invocation evaluates one candidate.,RETAIN,Compiled,See supplied UGTS-GN 1.1 package description
M129,UGTS-GN 1.1 source/normalization baseline,GPU-native,G64 authoritative state record,Package spec,"Four 16-byte vectors: position/time, axis/radius, phase/guard, metadata.",RETAIN,Implemented,See supplied UGTS-GN 1.1 package description
M130,UGTS-GN 1.1 source/normalization baseline,GPU-native,E32 full event record,Package spec,Float-bit scalars plus topology/lineage flags.,RETAIN,Implemented,See supplied UGTS-GN 1.1 package description
