id,domain,title,org,year,url,type,use
R18,Solar O&M,Best Practices in Photovoltaic System Operations and Maintenance,NREL,2017,https://www.nrel.gov/docs/fy17osti/68281.pdf,National laboratory guide,"PV monitoring, energy balance and O&M baseline."
R19,Pipelines,Leak Detection Systems Fact Sheet,PHMSA,2011,https://primis.phmsa.dot.gov/stakeholder-comms/factsheets/fsleakdetectionsystems/,Official technical overview,"Computational pipeline monitoring, thresholds and limitations."
R20,Pipelines,Pipeline Safety: Requirement of Valve Installation and Minimum Rupture Detection Standards,PHMSA,2022,https://www.phmsa.dot.gov/sites/phmsa.dot.gov/files/2022-03/PHMSA%202137-AF06%20Valve%20Final%20Rule%20-%20March%202022.pdf,Official rule,"Rupture identification, mitigation valves and response timing."
R21,Smart cities,NIST Smart Cities and Communities Framework Series,NIST,current,https://www.nist.gov/ctl/smart-connected-systems-division/iot-devices-and-infrastructures-group/smart-americaglobal/nist,Official framework,"Replicable, scalable, standards-based municipal systems."
R22,Smart cities,Smart Cities and Communities: A Key Performance Indicators Framework,NIST,2022,https://doi.org/10.6028/NIST.SP.1900-206,Official framework,"Technology, service and community-benefit KPI layers."
R23,Municipal services,GeoReport v2,Open311,current,https://wiki.open311.org/GeoReport_v2/,Open standard,Location-based municipal service requests.
R24,IoT and sensing,OGC SensorThings API Standard,Open Geospatial Consortium,current,https://www.ogc.org/standards/sensorthings/,Open standard,"Interoperable sensor observations, metadata and tasking."
R25,Cities,ISO 37120: Sustainable cities and communities - Indicators for city services and quality of life,ISO,2018,https://www.iso.org/standard/68498.html,International standard,Comparable city-service and quality-of-life indicators.
R26,Supply chain,EPCIS and Core Business Vocabulary,GS1,current,https://www.gs1.org/standards/epcis,Open industry standard,Event visibility and traceability across supply chains.
R27,Supply chain,GS1 Global Traceability Standard,GS1,current,https://www.gs1.org/standards/traceability,Open industry standard,Critical tracking events and key data elements.
R28,Provenance,PROV-O: The PROV Ontology,W3C,2013,https://www.w3.org/TR/prov-o/,W3C Recommendation,Domain-independent provenance representation.
R29,Research data,The FAIR Guiding Principles for scientific data management and stewardship,Wilkinson et al.,2016,https://doi.org/10.1038/sdata.2016.18,Primary paper,"Findable, accessible, interoperable and reusable research assets."
R30,Event sensing,A 128x128 120 dB 15 us latency asynchronous temporal contrast vision sensor,"Lichtsteiner, Posch and Delbruck",2008,https://doi.org/10.1109/JSSC.2007.914337,Primary research,Event-based sensing as an alternative to uniform image frames.
R31,Event conversion,A 10.4-ENOB 0.92-5.38 uW Event-Driven Level-Crossing ADC,Van Assche et al.,2022,https://lirias.kuleuven.be/retrieve/16f6ab16-2034-48a3-aab2-386c85bbaf9d,Primary research,Amplitude-threshold conversion for sparse signals.
R32,Photonic computing,Deep learning with coherent nanophotonic circuits,Shen et al.,2017,https://doi.org/10.1038/nphoton.2017.93,Primary research,Programmable interferometric photonic computation precedent.
R33,Collision detection,Time of Impact Dataset for Continuous Collision Detection and a Scalable Conservative Algorithm,Belgrod et al.,2023,https://arxiv.org/abs/2112.06300,Primary research and benchmark,Correctness and scalability benchmark for continuous time-of-impact queries.
R34,Robotics,A Generalized Continuous Collision Detection Framework of Polynomial Trajectory for Mobile Robots,Zhang et al.,2022,https://arxiv.org/abs/2206.13175,Primary research,Polynomial trajectory and exact/guaranteed collision-time queries.
R35,Smart city privacy,A Risk Management Approach to Smart City Cybersecurity and Privacy,NIST GCTC,2019,https://pages.nist.gov/GCTC/uploads/blueprints/2019_GCTC-SC3_Cybersecurity_and_Privacy_Advisory_Committee_Guidebook_July_2019.pdf,Official guidebook,Cybersecurity and privacy guardrails for municipal deployments.
