application_id,domain,application,reference_id,reference_title,reference_url
PHY-12,Semiconductor & physical manufacturing,Industrial optical spectroscopy classifier,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
PHY-13,Semiconductor & physical manufacturing,Quality inspection as direct relation query,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
PHY-13,Semiconductor & physical manufacturing,Quality inspection as direct relation query,R30,A 128x128 120 dB 15 us latency asynchronous temporal contrast vision sensor,https://doi.org/10.1109/JSSC.2007.914337
PHY-14,Semiconductor & physical manufacturing,Photonic relation kernel for fixed industrial queries,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
PHY-14,Semiconductor & physical manufacturing,Photonic relation kernel for fixed industrial queries,R32,Deep learning with coherent nanophotonic circuits,https://doi.org/10.1038/nphoton.2017.93
ENG-01,"Energy, climate & infrastructure",Grid state and contingency query substrate,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
ENG-01,"Energy, climate & infrastructure",Grid state and contingency query substrate,R15,"NIST Framework and Roadmap for Smart Grid Interoperability Standards, Release 4.0",https://doi.org/10.6028/NIST.SP.1108r4
ENG-01,"Energy, climate & infrastructure",Grid state and contingency query substrate,R16,Digital Twin + AI: Control Room of the Future,https://docs.nrel.gov/docs/fy24osti/87050.pdf
ENG-02,"Energy, climate & infrastructure",Distributed energy and microgrid compatibility router,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
ENG-02,"Energy, climate & infrastructure",Distributed energy and microgrid compatibility router,R15,"NIST Framework and Roadmap for Smart Grid Interoperability Standards, Release 4.0",https://doi.org/10.6028/NIST.SP.1108r4
ENG-02,"Energy, climate & infrastructure",Distributed energy and microgrid compatibility router,R17,IEEE 1547-2018 Based Interoperable PV Inverter with Advanced Grid-Support Functions,https://www.nrel.gov/docs/fy19osti/73131.pdf
ENG-03,"Energy, climate & infrastructure",Protection and disturbance event engine,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
ENG-03,"Energy, climate & infrastructure",Protection and disturbance event engine,R15,"NIST Framework and Roadmap for Smart Grid Interoperability Standards, Release 4.0",https://doi.org/10.6028/NIST.SP.1108r4
ENG-04,"Energy, climate & infrastructure",Solar PV string and module event twin,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
ENG-04,"Energy, climate & infrastructure",Solar PV string and module event twin,R17,IEEE 1547-2018 Based Interoperable PV Inverter with Advanced Grid-Support Functions,https://www.nrel.gov/docs/fy19osti/73131.pdf
ENG-04,"Energy, climate & infrastructure",Solar PV string and module event twin,R18,Best Practices in Photovoltaic System Operations and Maintenance,https://www.nrel.gov/docs/fy17osti/68281.pdf
ENG-05,"Energy, climate & infrastructure",Solar inverter and MPPT event-native control,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
ENG-05,"Energy, climate & infrastructure",Solar inverter and MPPT event-native control,R17,IEEE 1547-2018 Based Interoperable PV Inverter with Advanced Grid-Support Functions,https://www.nrel.gov/docs/fy19osti/73131.pdf
ENG-05,"Energy, climate & infrastructure",Solar inverter and MPPT event-native control,R31,A 10.4-ENOB 0.92-5.38 uW Event-Driven Level-Crossing ADC,https://lirias.kuleuven.be/retrieve/16f6ab16-2034-48a3-aab2-386c85bbaf9d
ENG-06,"Energy, climate & infrastructure",Battery state-of-health and thermal-runaway guard engine,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
ENG-07,"Energy, climate & infrastructure",EV charging and fleet energy routing,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
ENG-07,"Energy, climate & infrastructure",EV charging and fleet energy routing,R15,"NIST Framework and Roadmap for Smart Grid Interoperability Standards, Release 4.0",https://doi.org/10.6028/NIST.SP.1108r4
ENG-08,"Energy, climate & infrastructure","Gas, oil, hydrogen and CO2 pipeline leak/rupture event twin",C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
ENG-08,"Energy, climate & infrastructure","Gas, oil, hydrogen and CO2 pipeline leak/rupture event twin",R19,Leak Detection Systems Fact Sheet,https://primis.phmsa.dot.gov/stakeholder-comms/factsheets/fsleakdetectionsystems/
ENG-08,"Energy, climate & infrastructure","Gas, oil, hydrogen and CO2 pipeline leak/rupture event twin",R20,Pipeline Safety: Requirement of Valve Installation and Minimum Rupture Detection Standards,https://www.phmsa.dot.gov/sites/phmsa.dot.gov/files/2022-03/PHMSA%202137-AF06%20Valve%20Final%20Rule%20-%20March%202022.pdf
ENG-09,"Energy, climate & infrastructure",Water distribution leak and service-loss event system,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
ENG-09,"Energy, climate & infrastructure",Water distribution leak and service-loss event system,R23,GeoReport v2,https://wiki.open311.org/GeoReport_v2/
ENG-09,"Energy, climate & infrastructure",Water distribution leak and service-loss event system,R24,OGC SensorThings API Standard,https://www.ogc.org/standards/sensorthings/
ENG-10,"Energy, climate & infrastructure","Industrial combustion, boilers and process heat next-event optimization",C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
ENG-11,"Energy, climate & infrastructure",Fossil-fuel reduction through event-native operations,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
ENG-11,"Energy, climate & infrastructure",Fossil-fuel reduction through event-native operations,R15,"NIST Framework and Roadmap for Smart Grid Interoperability Standards, Release 4.0",https://doi.org/10.6028/NIST.SP.1108r4
ENG-11,"Energy, climate & infrastructure",Fossil-fuel reduction through event-native operations,R18,Best Practices in Photovoltaic System Operations and Maintenance,https://www.nrel.gov/docs/fy17osti/68281.pdf
ENG-11,"Energy, climate & infrastructure",Fossil-fuel reduction through event-native operations,R19,Leak Detection Systems Fact Sheet,https://primis.phmsa.dot.gov/stakeholder-comms/factsheets/fsleakdetectionsystems/
ENG-12,"Energy, climate & infrastructure",Data-center and AI energy workload router,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
ENG-12,"Energy, climate & infrastructure",Data-center and AI energy workload router,R32,Deep learning with coherent nanophotonic circuits,https://doi.org/10.1038/nphoton.2017.93
ENG-13,"Energy, climate & infrastructure",Building HVAC and indoor-environment event twin,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
ENG-13,"Energy, climate & infrastructure",Building HVAC and indoor-environment event twin,R21,NIST Smart Cities and Communities Framework Series,https://www.nist.gov/ctl/smart-connected-systems-division/iot-devices-and-infrastructures-group/smart-americaglobal/nist
ENG-13,"Energy, climate & infrastructure",Building HVAC and indoor-environment event twin,R24,OGC SensorThings API Standard,https://www.ogc.org/standards/sensorthings/
ENG-14,"Energy, climate & infrastructure",Wind turbine and rotating-equipment next-fault engine,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
ENG-15,"Energy, climate & infrastructure","District heating, cooling and thermal-network routing",C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
ENG-16,"Energy, climate & infrastructure",Carbon and energy provenance ledger,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
ENG-16,"Energy, climate & infrastructure",Carbon and energy provenance ledger,R28,PROV-O: The PROV Ontology,https://www.w3.org/TR/prov-o/
ENG-16,"Energy, climate & infrastructure",Carbon and energy provenance ledger,R29,The FAIR Guiding Principles for scientific data management and stewardship,https://doi.org/10.1038/sdata.2016.18
ENG-17,"Energy, climate & infrastructure",Renewable curtailment and storage counterfactual planner,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
ENG-17,"Energy, climate & infrastructure",Renewable curtailment and storage counterfactual planner,R15,"NIST Framework and Roadmap for Smart Grid Interoperability Standards, Release 4.0",https://doi.org/10.6028/NIST.SP.1108r4
ENG-17,"Energy, climate & infrastructure",Renewable curtailment and storage counterfactual planner,R16,Digital Twin + AI: Control Room of the Future,https://docs.nrel.gov/docs/fy24osti/87050.pdf
ENG-18,"Energy, climate & infrastructure",Environmental sensing with event/absence semantics,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
ENG-18,"Energy, climate & infrastructure",Environmental sensing with event/absence semantics,R24,OGC SensorThings API Standard,https://www.ogc.org/standards/sensorthings/
DIG-01,"Digital, compute & data pipelines",Equation-world simulation kernel,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
DIG-02,"Digital, compute & data pipelines",Raymarching/rasterization bypass for state and collision,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
DIG-02,"Digital, compute & data pipelines",Raymarching/rasterization bypass for state and collision,R33,Time of Impact Dataset for Continuous Collision Detection and a Scalable Conservative Algorithm,https://arxiv.org/abs/2112.06300
DIG-03,"Digital, compute & data pipelines",Dense linear-algebra avoidance planner,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
DIG-03,"Digital, compute & data pipelines",Dense linear-algebra avoidance planner,R32,Deep learning with coherent nanophotonic circuits,https://doi.org/10.1038/nphoton.2017.93
DIG-04,"Digital, compute & data pipelines",Event-driven analog-to-digital conversion layer,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
DIG-04,"Digital, compute & data pipelines",Event-driven analog-to-digital conversion layer,R31,A 10.4-ENOB 0.92-5.38 uW Event-Driven Level-Crossing ADC,https://lirias.kuleuven.be/retrieve/16f6ab16-2034-48a3-aab2-386c85bbaf9d
DIG-05,"Digital, compute & data pipelines",Event-camera perception substrate,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
DIG-05,"Digital, compute & data pipelines",Event-camera perception substrate,R30,A 128x128 120 dB 15 us latency asynchronous temporal contrast vision sensor,https://doi.org/10.1109/JSSC.2007.914337
DIG-06,"Digital, compute & data pipelines",Photonic/mixed-signal query accelerator,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
DIG-06,"Digital, compute & data pipelines",Photonic/mixed-signal query accelerator,R32,Deep learning with coherent nanophotonic circuits,https://doi.org/10.1038/nphoton.2017.93
DIG-07,"Digital, compute & data pipelines",Novelty-proportional state storage,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
