id,domain,application,current_baseline,proposed_role,boundary,maturity,evidence,core_operators,exemplar_event_guard,auditable_absence,candidate_metrics,minimum_pilot,principal_risks,references
BIO-11,Biomedical & healthcare,"Medication, infusion and closed-loop therapy guard engine","Orders, pump state, labs and observations are often stored in separate snapshots.","Join medication identity, dose lineage, patient state, timing and device status through compatibility and event guards; keep clinicians in the loop.",Addition.,Near-term pilot,FHIR + corpus mapping,compatibility gate; guard/event surface; lineage/provenance; auditable absence; next-event solve,"Dose or infusion transition is admitted only when patient, order, pump, drug, route and timing are compatible.","Expected reassessment, pump acknowledgment or lab result is missing after its due interval.",Medication errors; delayed doses; false blocks; response-monitoring completeness; audit time.,One high-risk infusion pathway in simulation and shadow mode.,Rule brittleness; alert fatigue; override handling; governance.,C0; R6; R7; R8
BIO-12,Biomedical & healthcare,Cradle-to-life longitudinal patient journey substrate,Hospital records are encounter- and document-centric; identity and context fragment across organizations and life stages.,"Use a stable person lineage with prenatal, birth, neonatal, childhood, adult and elder branches; represent encounters and documents as views over a consent- and provenance-aware event graph.",Addition beneath EHRs; not an autonomous medical authority.,Implementable architecture pilot,Corpus identity + FHIR/PROV standards,direct state query; lineage/provenance; compatibility gate; auditable absence; counterfactual branch; materialized view,"Care transitions, referrals, procedures, consent changes and outcomes are typed events tied to the person lineage.","Expected follow-up, screening, handoff, result or support service is absent only under an explicit obligation and coverage rule.",Record-linkage errors; care-gap closure; duplicate testing; handoff failures; patient access; consent compliance.,One maternal-neonatal or chronic-care pathway across two organizations using FHIR events and PROV lineage.,Identity matching; privacy; institutional power; data quality; patient autonomy.,C0; R6; R7; R8; R28
BIO-13,Biomedical & healthcare,"Maternal, fetal, birth and neonatal journey coordination","Prenatal, delivery, neonatal and maternal records often sit in separate episodes and systems.","Model mother, fetus/newborn, samples, devices and care teams as related but distinct lineages, with consent and event transitions at birth.",Addition.,Near-term information-system pilot,Cross-domain inference + FHIR,lineage/provenance; compatibility gate; auditable absence; counterfactual branch; guard/event surface,"Birth, transfer, screening, feeding, medication and follow-up transitions preserve parent/child lineage and provenance.",Expected screening or post-discharge follow-up is absent with verified obligation and outreach coverage.,Missed screens; duplicate identity; handoff delay; maternal/newborn linkage accuracy.,Neonatal screening and follow-up pathway.,Identity errors; consent complexity; sensitive data exposure.,C0; R6; R8
BIO-14,Biomedical & healthcare,"Hospital flow, beds, theatres and discharge event twin",Hospitals use dashboards and periodic snapshots that can obscure pending transitions and missing actions.,"Represent patient flow, rooms, staff, equipment and constraints as a compatibility-gated event system with next-event and counterfactual queries.",Addition/partial replacement of dashboard-centric coordination.,Near-term pilot,Cross-domain inference,direct state query; next-event solve; compatibility gate; guard/event surface; auditable absence; counterfactual branch; materialized view,"A transfer or discharge becomes admissible when clinical, staffing, bed, transport and documentation conditions are satisfied.","Required consult, result, transport or discharge action has not occurred by the due interval.",Length of stay; boarding time; cancelled procedures; idle beds; false-ready rate; staff burden.,One ward-to-discharge process in shadow mode.,Optimization against patient welfare; unstable priorities; data latency.,C0; R6; R7; R10
BIO-15,Biomedical & healthcare,Mental-health longitudinal care and research substrate,Care is often reduced to episodic diagnoses and self-report snapshots.,"Maintain patient-authored goals, consent, context, development, environment, observations and interventions as lineage-aware events and dimensional trajectories.",Addition to records and research; not automated diagnosis or therapy.,Research and governance pilot,Corpus identity + NIMH/WHO guidance,direct state query; lineage/provenance; compatibility gate; auditable absence; counterfactual branch; materialized view,"A care or research transition is admitted under explicit consent, role, time and safety predicates, with human review.","Expected check-in or follow-up may be logged as absent, but lack of digital activity is never equated with deterioration without corroboration.",Continuity; patient control; follow-up completion; bias; clinician burden; data access.,Patient-controlled longitudinal research registry with independent ethics review.,Surveillance; stigma; coercion; false inference; crisis responsibility.,C0; R8; R9; R10; R11
BIO-16,Biomedical & healthcare,Clinical trial and observational study event graph,"Trials rely on document bundles, site databases and retrospective reconciliation.","Create a versioned event and provenance graph connecting protocol, consent, intervention, measurement, deviation, analysis and publication.",Addition/partial replacement of document-centric trial operations.,Implementable pilot,FHIR/PROV/FAIR + corpus lineage,lineage/provenance; compatibility gate; auditable absence; counterfactual branch; materialized view,"Every trial action creates a typed event with protocol version, authority, subject, time and before/after state.","Expected visit, sample, outcome or adverse-event assessment is explicitly expired, waived or observed.",Protocol deviations; reconciliation time; missing data; audit readiness; reproducibility.,Single-site prospective study with export to standard regulatory documents.,Operational complexity; privacy; legal admissibility; version drift.,C0; R6; R28; R29
BIO-17,Biomedical & healthcare,Biomedical sample and biobank lineage,"Samples are split, pooled, transformed and shipped across systems.","Use lineage addresses and split/merge rules for specimen, aliquot, derivative, assay and storage events.",Addition.,Implementable integration,Provenance standards + corpus lineage,lineage/provenance; compatibility gate; auditable absence; guard/event surface,"A sample transition is admitted only when identity, consent, chain of custody, storage and assay compatibility are satisfied.","Expected receipt, temperature record or assay result is missing after verified custody.",Misidentification; unusable samples; audit time; consent violations; freezer excursions.,One biobank workflow with barcode/EPCIS and PROV mapping.,Legacy identifiers; merge ambiguity; privacy; operational adoption.,C0; R26; R27; R28
BIO-18,Biomedical & healthcare,Protein dynamics and molecular-event simulation,Molecular dynamics often advances short timesteps and stores frames; structure repositories emphasize snapshots.,"For selected relation families, solve binding, contact, conformational and threshold events directly, while retaining conventional simulation for unresolved regions.",Hybrid addition; broad replacement unsupported.,Research prototype,Corpus hypothesis,direct state query; next-event solve; local support; compatibility gate; guard/event surface; lineage/provenance,"Earliest compatible contact, barrier crossing or conformational transition within a bounded model.",A predicted event is absent only when the modeled support and force field are valid; otherwise unknown.,Event-time error; energy conservation; missed states; compute/J; expression growth.,Small molecule or coarse-grained benchmark against MD trajectories.,Chaotic dynamics; model inadequacy; event explosion; no general closed form.,C0
BIO-19,Biomedical & healthcare,CRISPR and gene-editing in-silico candidate pruning,"Guide design uses sequence search, predictive models and experimental validation.","Use local genomic/epigenetic support, compatibility predicates and lineage to rank candidate interventions and downstream event risks before laboratory testing.",Addition to design; not physical gene control.,Research concept,Corpus analogy + explicit safety boundary,local support; compatibility gate; guard/event surface; lineage/provenance; counterfactual branch,"Candidate passes sequence, structure, cell-context, off-target and policy guards with uncertainty.","Missing cell-context evidence is a blocking absence, not proof of safety.",Off-target ranking; experimental hit rate; uncertainty calibration; provenance.,Benchmark on public datasets; no clinical use.,Overconfidence; incomplete biology; dual use; ethical concerns.,C0; R8; R9
BIO-20,Biomedical & healthcare,Public-health event and service-absence observatory,Public-health systems aggregate delayed reports and dashboards.,"Use event notifications, local geographic supports, lineage and explicit expected-report contracts to distinguish true absence, delayed data and sensor failure.",Addition.,Near-term data pilot,FHIR/OGC/WHO + corpus,local support; compatibility gate; auditable absence; lineage/provenance; materialized view,"Case, lab, wastewater, capacity or intervention events cross a public-health guard.","Expected report absent only after source coverage, reporting obligation and deadline are verified.",Reporting delay; missingness classification; false alarms; privacy; action time.,One syndromic or wastewater surveillance program with transparent absence rules.,Re-identification; political misuse; reporting bias; jurisdiction conflicts.,C0; R6; R7; R8; R24
PHY-01,Semiconductor & physical manufacturing,ASML/EUV event-native exposure and scanner control,"EUV systems project reticle patterns using complex optics, stages, sources and tightly coupled feedback.","Add a query-first state/event layer for wafer-stage trajectories, dose, focus, overlay, contamination and subsystem readiness.",Addition to scanner control; physical exposure system remains.,Research/industry pilot,External baseline + corpus mapping,direct state query; next-event solve; compatibility gate; guard/event surface; lineage/provenance; auditable absence,"Expose only when stage, source, reticle, wafer, focus, dose and safety states are compatible; latch deviations as events.","Expected metrology, droplet/source, stage or vacuum readiness event is absent within the control window.",Overlay; focus/dose error; wafers/hour; downtime; false aborts; control energy.,Offline replay of scanner logs and a hardware-in-the-loop subsystem test.,Proprietary complexity; nanometre tolerances; latency; certification.,C0; R12; R13; R14
PHY-02,Semiconductor & physical manufacturing,Computational lithography hotspot query engine,"OPC, SMO and verification optimize masks, source and process over large pattern spaces.",Represent pattern constraints and process windows as local supports and guards; query hotspot events and compatible corrections instead of materializing every candidate globally.,Addition/partial replacement of selected optimization passes.,Research prototype,ASML computational lithography + corpus inference,direct state query; local support; compatibility gate; guard/event surface; counterfactual branch; materialized view,A local pattern/process relation exits the manufacturable window under a declared model.,No hotspot observation is valid only under verified model coverage; unmodeled pattern classes remain unknown.,Runtime; memory; hotspot recall; process-window improvement; correction complexity.,Public benchmark or synthetic mask set comparing local event solver with conventional simulation.,Model closure; missed long-range effects; stochastic resist behavior; IP constraints.,C0; R12
PHY-03,Semiconductor & physical manufacturing,Reduced-order Maxwell/rigorous simulation query service,Full electromagnetic simulation can be expensive across many source-mask-process combinations.,Compile bounded parameter families into reduced or surrogate relation models with certified validity regions and fall back to full solvers outside support.,Addition.,Research prototype,Cross-domain inference with lithography precedent,direct state query; local support; compatibility gate; guard/event surface; materialized view,Parameter query is answered only within certified support and error tolerance.,A result is absent/inconclusive when the query lies outside the reduced model support.,Error bound; solver speed; fallback rate; memory; process-window coverage.,Reduced-basis study on a narrow mask family.,Extrapolation; hidden coupling; certification overhead.,C0; R12; R13
PHY-04,Semiconductor & physical manufacturing,"Reticle, wafer and process lineage graph","Mask versions, lots, wafers, recipes, metrology and rework form complex provenance chains.","Use immutable lineage, split/merge and event records across design, mask, exposure, etch, metrology and yield.",Addition beneath MES/yield systems.,Implementable integration,Provenance/traceability + corpus lineage,lineage/provenance; compatibility gate; auditable absence; materialized view,"Every custody, recipe, exposure, inspection and disposition creates a versioned event.","Expected metrology, hold release or lot movement is absent after a declared due interval.",Root-cause time; genealogy completeness; scrap containment; auditability.,One process module or product family.,Identifier mismatch; data volume; supplier boundaries; confidentiality.,C0; R26; R27; R28
PHY-05,Semiconductor & physical manufacturing,Wafer-stage and robot continuous motion scheduling,High-speed stages and robots require precise coordination and collision avoidance.,"Use continuous trajectories, local supports and exact/conservative time-of-impact events rather than only fixed-rate checking.",Addition.,Near-term research pilot,CCD research + corpus mapping,next-event solve; local support; compatibility gate; guard/event surface,"Earliest contact, clearance or timing-constraint crossing under bounded trajectory uncertainty.",Tracking absence blocks motion; it never implies free space.,Cycle time; missed collision probability; false stops; timing jitter.,Digital twin and hardware-in-the-loop stage/robot cell.,Trajectory uncertainty; flexible structures; numerical degeneracy.,C0; R33; R34
PHY-06,Semiconductor & physical manufacturing,Fab chamber next-fault digital twin,Process chambers are monitored by dense sensor streams and periodic models.,"Represent pressure, temperature, flow, plasma, chemistry and equipment states continuously; solve next-fault and regime-change events with calibrated uncertainty.",Addition.,Near-term pilot,Corpus event calculus + industrial twin pattern,direct state query; next-event solve; compatibility gate; guard/event surface; lineage/provenance; auditable absence,Earliest compatible threshold or regime transition under a validated physical model.,Expected sensor or actuator acknowledgment absent with coverage known.,Unplanned downtime; false alarms; yield; maintenance hours; model error.,One chamber subsystem in shadow mode.,Model drift; rare faults; sensor bias; action latency.,C0
PHY-07,Semiconductor & physical manufacturing,Metrology optical prefilter and B.C.E. detector,Metrology often digitizes broad optical signals before feature extraction.,Use calibrated waveguide/optofluidic transfer functions and compatibility gates to detect narrow optical events before full digitization.,Addition; narrow analog front end.,Frontier lab prototype,Corpus Hollowlens pattern + established component classes,local support; compatibility gate; guard/event surface; analog/photonic front end; lineage/provenance,Selected wavelength/polarization/mode response crosses a calibrated guard.,"Expected reference-channel event absent indicates drift or hardware fault, not sample absence.",Verified events/J; insertion loss; miss/false rate; calibration interval; throughput.,Hollowlens-style benchtop metrology proxy with electronic baseline.,Optical loss; drift; liquid instability; ADC still needed; limited task range.,C0
PHY-08,Semiconductor & physical manufacturing,"PCB routing, revision and signal-integrity event graph","EDA represents geometry and runs rule checks, while revision and trace identity can fragment.","Treat traces, vias, components and constraints as lineage-aware relations; use local support for clearance and compatibility for electrical/net semantics.",Addition/partial replacement of selected checks.,Near-term software pilot,Corpus pattern,local support; compatibility gate; guard/event surface; lineage/provenance; counterfactual branch,"Clearance, impedance, timing or net-compatibility relation crosses a guard.",Expected test or sign-off absent is explicit.,DRC runtime; missed violations; revision traceability; ECO turnaround.,One board design with conventional DRC reference.,Nonlocal electromagnetic effects; rule explosion; tool integration.,C0
PHY-09,Semiconductor & physical manufacturing,Pick-and-place event-native cell,"Robots use cameras, maps and fixed-cycle control to locate, pick and place parts.","Combine continuous motion, local supports, compatibility and lineage for part/nozzle/feeder events.",Addition.,Near-term pilot,CCD + supply-chain traceability,next-event solve; local support; compatibility gate; guard/event surface; lineage/provenance; auditable absence,"Pick or placement is admitted when pose, part identity, nozzle, feeder, board and clearance states match.",Expected component present but not observed under verified camera/feeder coverage.,Cycle time; mispicks; placement error; stoppages; energy/placed part.,One SMT cell in shadow or simulation mode.,Occlusion; calibration; part damage; false absence.,C0; R26; R33; R34
PHY-10,Semiconductor & physical manufacturing,Additive manufacturing melt-pool event control,"Layerwise systems collect images and sensor streams, often analysed after the layer or build.","Model melt-pool geometry, thermal state, feedstock and scan trajectory continuously; trigger corrective transitions at guard crossings.",Addition.,Research prototype,Cross-domain inference,next-event solve; local support; compatibility gate; guard/event surface; lineage/provenance,"Melt-pool, porosity-risk or thermal-gradient relation exits process support.",Expected sensor or powder-delivery event absent blocks confidence.,Defect rate; scrap; energy/kg; latency; calibration.,Single material and geometry with high-speed sensing.,Complex multiphysics; sensor occlusion; actuation limits.,C0
PHY-11,Semiconductor & physical manufacturing,CNC and tool-wear next-event control,Machine tools rely on periodic inspection and signal-based condition monitoring.,"Represent tool state, workpiece lineage and continuous load/vibration relations; predict wear threshold and collision events.",Addition.,Near-term pilot,Cross-domain inference,next-event solve; local support; compatibility gate; guard/event surface; lineage/provenance; auditable absence,"Predicted wear, chatter, overload or collision guard crossing.",Expected cut completion or sensor signature absent under verified coverage.,Tool life; scrap; downtime; false alarms; energy/part.,One machining process with historical data and shadow prediction.,Model drift; varying materials; sensor noise.,C0
PHY-12,Semiconductor & physical manufacturing,Industrial optical spectroscopy classifier,Spectrometers digitize full spectra even for narrow detection tasks.,"Use tunable optical supports, mode compatibility and threshold events to detect selected chemical/physical signatures before or alongside full spectra.",Addition/alternative narrow instrument.,Frontier lab pilot,Hollowlens pattern,local support; compatibility gate; guard/event surface; analog/photonic front end; materialized view,Spectral/mode response crosses a calibrated target guard.,Reference line absent indicates instrument fault; target absence requires full support coverage.,Events/J; limit of detection; false alarms; calibration; cost.,Known gas or liquid assay with simultaneous reference spectrometer.,Cross-sensitivity; drift; environmental dependence.,C0
PHY-13,Semiconductor & physical manufacturing,Quality inspection as direct relation query,Vision inspection often forms high-resolution images and runs dense models.,"Use local support and event-based or analog prefilters for specific geometry, surface or assembly relations; retain images only for exceptions.",Addition/partial replacement for narrow inspections.,Near-term pilot,Event sensor + corpus projection boundary,local support; compatibility gate; guard/event surface; analog/photonic front end; materialized view; lineage/provenance,Feature deviation crosses tolerance under sufficient illumination and pose support.,Expected feature not observed under verified coverage; otherwise unknown.,Bytes/part; events/J; miss/false; inspection time; exception-image rate.,Single repetitive inspection task.,Novel defects; lighting; model coverage; evidence retention.,C0; R30
PHY-14,Semiconductor & physical manufacturing,Photonic relation kernel for fixed industrial queries,Digital hardware performs repeated fixed transforms and thresholds.,"Map stable linear transforms to calibrated interferometric hardware, while nonlinear logic, uncertainty, lineage and policy remain digital.",Addition; domain-specific accelerator.,Frontier prototype,Photonic research + corpus matrix-in-glass translation,analog/photonic front end; compatibility gate; guard/event surface; lineage/provenance,Optical output crosses a calibrated guard and digital sidecar validates context.,Reference-channel absence or drift blocks result.,End-to-end events/J; accuracy; calibration; insertion loss; latency.,Small MZI mesh on one sensing or control task.,I/O and ADC costs; drift; precision; programmability.,C0; R32
ENG-01,"Energy, climate & infrastructure",Grid state and contingency query substrate,"Grid operations combine estimators, SCADA/PMU streams, forecasts and periodic contingency studies.","Maintain a versioned grid state and solve local support, compatibility and next-limit events; use conventional power-flow solvers as typed physical services.",Addition beneath EMS/DERMS.,Research/utility pilot,NIST/NREL + corpus mapping,direct state query; next-event solve; local support; compatibility gate; guard/event surface; counterfactual branch; lineage/provenance,"Earliest thermal, voltage, frequency, stability or protection guard crossing under a scenario branch.",Expected telemetry or breaker state absent is classified separately from a normal zero.,Contingency solve time; missed events; false alarms; operator workload; events/J.,Offline replay and shadow control-room pilot for one region.,Model error; cyber risk; event explosion; operator trust.,C0; R15; R16
ENG-02,"Energy, climate & infrastructure",Distributed energy and microgrid compatibility router,"DERs, batteries, EVs and loads are coordinated through heterogeneous protocols and control layers.","Use compatibility predicates for device capability, grid state, market/policy and ownership; route only admitted events.",Addition.,Near-term pilot,NIST interoperability + corpus,compatibility gate; guard/event surface; lineage/provenance; auditable absence; counterfactual branch,"Dispatch or islanding transition admitted when electrical, contractual, cyber and timing predicates match.",Expected device acknowledgment or telemetry absent after a verified communication window.,Dispatch success; interoperability failures; curtailment; resilience; cyber incidents.,Campus microgrid or simulated feeder.,Vendor heterogeneity; cyber attack; conflicting objectives.,C0; R15; R17
ENG-03,"Energy, climate & infrastructure",Protection and disturbance event engine,"Protection systems react to waveform thresholds with strict timing, while analytics may be separated.","Represent disturbance supports, device compatibility, guard crossings and event lineage explicitly; keep certified relays authoritative.","Addition to analysis and coordination, not unvalidated relay replacement.",Near-term research pilot,Cross-domain inference,next-event solve; local support; compatibility gate; guard/event surface; lineage/provenance; auditable absence,Fault or instability relation crosses a certified boundary in the protected zone.,Expected breaker trip or relay acknowledgment absent within the mandated interval.,Detection time; selectivity; false trips; coordination; event reconstruction.,Digital real-time simulator with relay-in-the-loop.,Safety criticality; timing; model mismatch; cyber.,C0; R15
ENG-04,"Energy, climate & infrastructure",Solar PV string and module event twin,"PV monitoring aggregates power, irradiance and inverter data; faults may be discovered after energy loss.","Use local array/string support, expected-yield relations, inverter compatibility and lineage to detect shading, soiling, mismatch, connector and degradation events.",Addition.,Near-term pilot,NREL O&M + corpus,direct state query; next-event solve; local support; compatibility gate; guard/event surface; lineage/provenance; auditable absence,Measured/predicted energy balance exits a calibrated support or a component relation crosses a fault guard.,"Expected generation or telemetry absent only after irradiance, availability and sensor coverage are verified.",Energy recovered; detection delay; false alarms; O&M cost; events/J; curtailment avoided.,One commercial array with parallel conventional monitoring.,Weather-model error; sensor drift; maintenance burden.,C0; R17; R18
ENG-05,"Energy, climate & infrastructure",Solar inverter and MPPT event-native control,Inverters continuously sample voltage/current and update control loops.,"Add local event rules for mode changes, mismatch, voltage support and thermal limits; investigate level-crossing conversion for sparse supervisory signals.",Addition; low-level control remains conventional unless certified.,Research pilot,NREL + event ADC precedent,next-event solve; compatibility gate; guard/event surface; auditable absence; analog/photonic front end,"Operating point, thermal, grid-support or protection relation crosses a guard.",Expected inverter response absent under verified communications and power availability.,Wh delivered per control joule; tracking efficiency; response time; thermal cycling.,Controller-in-the-loop PV emulator.,Control stability; harmonics; standards compliance; converter noise.,C0; R17; R31
ENG-06,"Energy, climate & infrastructure",Battery state-of-health and thermal-runaway guard engine,BMSs estimate state using sampled electrical and thermal data and rule-based protections.,"Use continuous state relations, lineage of cells/modules and next-event guards for degradation, imbalance, venting and thermal risk.",Addition.,Near-term pilot,Cross-domain inference,direct state query; next-event solve; compatibility gate; guard/event surface; lineage/provenance; auditable absence,"Predicted temperature, voltage, pressure, impedance or imbalance crosses a certified threshold.",Expected sensor/contactor response absent; never interpret missing telemetry as safe.,Prediction horizon; false/late trips; cycle life; pack availability; compute energy.,Battery cycler and abuse-test dataset in shadow mode.,Cell variability; rare-event data; safety certification.,C0
ENG-07,"Energy, climate & infrastructure",EV charging and fleet energy routing,"Fleet charging is optimized using schedules, prices and charger availability.","Use vehicle/charger/grid compatibility, local feeder support and next-departure/constraint events with lineage-aware energy accounting.",Addition.,Near-term pilot,NIST grid interoperability + corpus,next-event solve; local support; compatibility gate; guard/event surface; lineage/provenance; auditable absence; counterfactual branch,"Charge/discharge transition admitted under connector, battery, departure, feeder and tariff constraints.","Expected vehicle arrival, charger acknowledgment or departure readiness absent.",Peak demand; missed departures; energy cost; battery wear; charger utilization.,Municipal or depot fleet.,Data quality; user autonomy; tariff volatility; cyber.,C0; R15
